Matchup,HOU @ ATH
Pitcher,Peter Lambert
Pitcher Team,HOU
Opposing Team,ATH

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,19.2,0.92,="10-70",.143,.143,0.000,0,0,0,1,28.4,8,.247,.390
Batting Second,19.0,1.26,="18-72",.250,.403,0.153,3,2,0,7,16.0,6,.333,.736
Batting Third,20.0,1.00,="14-72",.194,.208,0.014,0,1,0,1,20.3,6,.266,.474
Batting Fourth,17.0,1.47,="14-66",.212,.455,0.243,4,4,0,13,25.6,11,.333,.788
Batting Fifth,17.0,1.35,="18-68",.265,.456,0.191,3,4,0,7,28.4,5,.311,.767
Batting Sixth,14.2,1.77,="17-59",.288,.458,0.170,2,4,0,7,26.8,9,.400,.858
Batting Seventh,13.1,1.65,="17-54",.315,.444,0.129,2,1,0,8,18.0,5,.367,.811
Batting Eighth,15.2,0.89,="10-51",.196,.216,0.020,0,1,0,5,23.7,4,.281,.497
Batting Ninth,14.0,0.93,="10-53",.189,.321,0.132,1,4,0,5,17.5,3,.246,.567

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Henry Bolte RHB,Batting First ​,="57-193",.295,.466,0.171,7,10,1,19,29.5,20,.379,.845
Shea Langeliers RHB,Batting Second ​,="55-196",.281,.505,0.224,11,11,0,25,20.3,17,.346,.851
Zack Gelof RHB,Batting Third ​,="16-81",.198,.358,0.160,3,2,1,11,25.3,8,.278,.636
Jonah Heim SHB,Batting Fourth ​,="19-93",.204,.312,0.108,2,4,0,6,21.0,5,.250,.562
Carlos Cortes LHB,Batting Fifth ​,="18-68",.265,.382,0.117,1,3,1,5,20.3,1,.275,.657
Tommy White RHB,Batting Fifth ​,="22-88",.250,.295,0.045,1,1,0,7,15.6,1,.256,.551
Joshua Kuroda-Grauer RHB,Batting Fifth ​,="12-31",.387,.613,0.226,1,4,0,3,12.5,1,.406,1.019
Lawrence Butler LHB,Batting Sixth ​,="24-103",.233,.379,0.146,3,6,0,13,24.8,13,.325,.704
Michael Stefanic RHB,Batting Sixth ​,="3-11",.273,.364,0.091,0,1,0,1,9.1,0,.273,.637
Donovan Walton LHB,Batting Eighth ​,="17-56",.304,.536,0.232,3,4,0,7,18.5,7,.400,.936
Jeff McNeil LHB,Batting Eighth ​,="24-114",.211,.228,0.017,0,2,0,13,11.7,12,.289,.517
Brian Serven RHB,Batting Ninth ​,="5-30",.167,.467,0.300,3,0,0,7,30.0,0,.167,.634
Denzel Clarke RHB,Batting Ninth ​,="11-65",.169,.185,0.016,0,1,0,6,33.3,5,.229,.414
Alika Williams RHB,Batting Ninth ​,="32-118",.271,.475,0.204,3,15,0,10,23.0,6,.312,.787
