Matchup,HOU @ NYY
Pitcher,Peter Lambert
Pitcher Team,HOU
Opposing Team,NYY

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,16.0,0.88,="7-56",.125,.125,0.000,0,0,0,1,27.7,7,.231,.356
Batting Second,15.1,1.17,="15-59",.254,.390,0.136,2,2,0,5,16.9,3,.323,.713
Batting Third,16.1,0.92,="9-57",.158,.175,0.017,0,1,0,1,23.4,6,.250,.425
Batting Fourth,13.2,1.54,="10-51",.196,.373,0.177,2,3,0,9,27.0,11,.349,.722
Batting Fifth,13.2,1.39,="14-54",.259,.463,0.204,3,2,0,6,31.7,5,.317,.780
Batting Sixth,11.2,1.80,="15-49",.306,.490,0.184,2,3,0,7,24.6,6,.404,.894
Batting Seventh,10.2,1.69,="14-45",.311,.467,0.156,2,1,0,6,18.4,4,.367,.834
Batting Eighth,13.2,0.66,="6-41",.146,.171,0.025,0,1,0,3,23.4,3,.222,.393
Batting Ninth,11.1,1.06,="9-43",.209,.372,0.163,1,4,0,5,13.0,3,.261,.633

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Paul Goldschmidt RHB,Batting First ​,="30-110",.273,.518,0.245,7,4,1,16,22.2,15,.365,.883
Trent Grisham LHB,Batting First ​,="60-294",.204,.391,0.187,13,14,1,36,16.9,46,.309,.700
Luis Garcia Jr. LHB,Batting Second ​,="84-280",.300,.607,0.307,20,16,5,66,17.5,11,.325,.932
Ben Rice LHB,Batting Second ​,="73-306",.239,.477,0.238,18,13,3,48,24.9,36,.324,.801
Amed Rosario RHB,Batting Third ​,="10-43",.233,.326,0.093,1,1,0,1,32.6,0,.233,.559
Heliot Ramos RHB,Batting Third ​,="18-92",.196,.228,0.032,0,3,0,6,27.9,11,.288,.516
Cody Bellinger LHB,Batting Fourth ​,="52-207",.251,.415,0.164,7,13,0,29,18.8,31,.346,.761
Jazz Chisholm Jr. LHB,Batting Sixth ​,="35-168",.208,.351,0.143,5,7,1,18,32.3,16,.280,.631
Spencer Jones LHB,Batting Sixth ​,="13-50",.260,.400,0.140,1,4,0,4,36.2,8,.362,.762
George Lombard Jr. RHB,Batting Sixth ​,="4-17",.235,.471,0.236,1,1,0,1,25.0,3,.350,.821
Jose Caballero RHB,Batting Eighth ​,="29-117",.248,.402,0.154,4,6,0,13,27.6,7,.294,.696
Ali Sanchez RHB,Batting Ninth ​,="13-51",.255,.353,0.098,1,2,0,7,27.3,1,.291,.644
Austin Wells LHB,Batting Ninth ​,="24-151",.159,.278,0.119,5,3,0,9,25.9,12,.230,.508
