Matchup,HOU @ PHI
Pitcher,Cristopher Sanchez
Pitcher Team,PHI
Opposing Team,HOU

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,23.0,1.17,="23-90",.256,.367,0.111,2,4,0,4,31.6,4,.287,.654
Batting Second,23.1,0.99,="17-84",.202,.274,0.072,1,3,0,2,20.9,6,.256,.530
Batting Third,18.2,1.50,="23-80",.288,.438,0.150,2,6,0,5,22.7,5,.352,.790
Batting Fourth,22.1,0.94,="17-81",.210,.222,0.012,0,1,0,4,34.1,4,.247,.469
Batting Fifth,18.1,1.58,="23-79",.291,.392,0.101,1,5,0,5,21.2,6,.341,.733
Batting Sixth,19.1,1.34,="22-79",.278,.468,0.190,4,3,0,12,28.9,4,.313,.781
Batting Seventh,18.0,1.56,="21-71",.296,.479,0.183,3,4,0,10,26.3,7,.363,.842
Batting Eighth,17.2,1.19,="18-72",.250,.319,0.069,1,2,0,5,28.0,3,.280,.599
Batting Ninth,18.2,0.75,="11-65",.169,.185,0.016,0,1,0,2,35.7,3,.217,.402

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jeremy Pena RHB,Batting First ​,="100-369",.271,.461,0.190,17,17,1,44,22.1,20,.321,.782
Yordan Alvarez LHB,Batting Second ​,="150-477",.314,.585,0.271,33,28,1,87,17.4,90,.430,1.015
Isaac Paredes RHB,Batting Third ​,="90-339",.265,.407,0.142,10,16,1,52,11.1,44,.365,.772
Jose Altuve RHB,Batting Fourth ​,="28-132",.212,.318,0.106,2,8,0,12,20.1,13,.289,.607
Christian Walker RHB,Batting Fourth ​,="51-220",.232,.468,0.236,14,10,0,33,23.5,21,.312,.780
Nelson Velazquez RHB,Batting Fourth ​,="12-47",.255,.532,0.277,3,4,0,10,24.1,5,.333,.865
Daulton Varsho LHB,Batting Fifth ​,="35-146",.240,.384,0.144,4,5,2,16,18.1,13,.306,.690
LaMonte Wade Jr. LHB,Batting Fifth ​,="3-35",.086,.086,0.000,0,0,0,2,26.2,7,.238,.324
Cam Smith RHB,Batting Sixth ​,="28-140",.200,.379,0.179,6,5,1,13,25.2,14,.272,.651
Taylor Trammell LHB,Batting Seventh ​,="15-69",.217,.406,0.189,3,2,1,9,31.1,5,.270,.676
Yainer Diaz RHB,Batting Seventh ​,="28-91",.308,.538,0.230,5,6,0,16,16.8,1,.326,.864
Nick Allen RHB,Batting Eighth ​,="13-55",.236,.273,0.037,0,2,0,8,27.0,4,.274,.547
Christian Vazquez RHB,Batting Ninth ​,="42-188",.223,.340,0.117,5,7,0,23,19.2,14,.276,.616
Jorge Barrosa SHB,Batting Ninth ​,="17-87",.195,.333,0.138,0,10,1,7,25.2,10,.283,.616
