Matchup,KC @ DET
Pitcher,Beck Way
Pitcher Team,KC
Opposing Team,DET

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,1.2,1.80,="3-9",.333,.333,0.000,0,0,0,1,22.2,0,.333,.666
Batting Second,1.2,2.40,="4-9",.444,.778,0.334,1,0,0,1,22.2,0,.444,1.222
Batting Third,3.1,1.50,="1-10",.100,.100,0.000,0,0,0,0,21.4,4,.357,.457
Batting Fourth,2.2,1.50,="4-12",.333,.833,0.500,2,0,0,2,33.3,0,.333,1.166
Batting Fifth,3.0,1.67,="3-11",.273,.545,0.272,1,0,0,3,15.4,2,.385,.930
Batting Sixth,2.2,1.50,="3-10",.300,.300,0.000,0,0,0,0,0.0,1,.364,.664
Batting Seventh,2.1,1.71,="3-10",.300,.400,0.100,0,1,0,0,36.4,1,.364,.764
Batting Eighth,2.1,1.29,="2-8",.250,.250,0.000,0,0,0,1,10.0,1,.300,.550
Batting Ninth,2.1,0.86,="1-8",.125,.125,0.000,0,0,0,0,33.3,1,.222,.347

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Matt Vierling RHB,Batting First ​,="13-47",.277,.447,0.170,2,2,0,7,17.3,4,.327,.774
Kevin McGonigle LHB,Batting First ​,="67-226",.296,.473,0.177,8,14,1,20,13.2,38,.400,.873
Gleyber Torres RHB,Batting Second ​,="29-94",.309,.383,0.074,2,1,0,9,16.5,24,.446,.829
Dillon Dingler RHB,Batting Second ​,="34-116",.293,.491,0.198,5,8,0,15,23.0,5,.333,.824
Colt Keith LHB,Batting Third ​,="30-114",.263,.325,0.062,0,7,0,7,22.3,6,.298,.623
Riley Greene LHB,Batting Fourth ​,="67-239",.280,.481,0.201,11,13,1,36,28.8,29,.358,.839
Spencer Torkelson RHB,Batting Fifth ​,="26-126",.206,.429,0.223,7,7,0,17,32.2,14,.296,.725
Kerry Carpenter LHB,Batting Sixth ​,="16-83",.193,.361,0.168,2,4,2,8,23.9,6,.272,.633
Zach McKinstry LHB,Batting Seventh ​,="17-82",.207,.317,0.110,2,3,0,11,16.9,6,.261,.578
Ben Malgeri RHB,Batting Eighth ​,="6-19",.316,.421,0.105,0,2,0,3,8.7,4,.435,.856
Hao-Yu Lee RHB,Batting Eighth ​,="16-64",.250,.438,0.188,2,4,1,8,27.9,3,.284,.722
Jake Rogers RHB,Batting Ninth ​,="11-74",.149,.243,0.094,1,2,1,5,27.6,9,.244,.487
James Outman LHB,Batting Ninth ​,="17-93",.183,.344,0.161,3,4,1,10,41.1,2,.200,.544
