Matchup,KC @ MIN
Pitcher,Michael Wacha
Pitcher Team,KC
Opposing Team,MIN

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,10.0,0.70,="3-32",.094,.188,0.094,1,0,0,1,29.7,4,.216,.404
Batting Second,8.2,1.38,="7-30",.233,.367,0.134,0,4,0,2,16.7,5,.361,.728
Batting Third,10.0,0.60,="4-33",.121,.152,0.031,0,1,0,0,37.1,2,.171,.323
Batting Fourth,7.2,1.57,="8-30",.267,.667,0.400,3,1,1,5,20.0,4,.371,1.038
Batting Fifth,8.1,1.20,="10-35",.286,.514,0.228,1,3,1,4,14.3,0,.286,.800
Batting Sixth,7.1,1.77,="9-30",.300,.433,0.133,1,1,0,6,11.8,4,.382,.815
Batting Seventh,7.1,1.64,="7-27",.259,.370,0.111,0,3,0,3,24.2,5,.375,.745
Batting Eighth,6.2,1.50,="8-28",.286,.571,0.285,2,2,0,4,20.0,2,.333,.904
Batting Ninth,8.2,0.23,="2-26",.077,.077,0.000,0,0,0,1,18.5,0,.077,.154

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Byron Buxton RHB,Batting First ​,="52-191",.272,.586,0.314,17,9,0,26,25.8,16,.335,.921
Trevor Larnach LHB,Batting Second ​,="25-89",.281,.337,0.056,0,5,0,5,18.6,13,.373,.710
Austin Martin RHB,Batting Second ​,="15-42",.357,.524,0.167,1,4,0,3,14.5,11,.491,1.015
Luke Keaschall RHB,Batting Third ​,="15-70",.214,.286,0.072,1,2,0,9,11.7,6,.273,.559
Josh Bell SHB,Batting Fourth ​,="19-102",.186,.216,0.030,0,3,0,8,27.0,7,.243,.459
Kody Clemens LHB,Batting Fifth ​,="14-55",.255,.436,0.181,2,4,0,3,16.9,2,.293,.729
Victor Caratini SHB,Batting Sixth ​,="9-60",.150,.267,0.117,2,1,0,8,23.0,6,.270,.537
Orlando Arcia RHB,Batting Seventh ​,="7-15",.467,.533,0.066,0,1,0,1,0.0,0,.467,1.000
Brooks Lee SHB,Batting Eighth ​,="29-75",.387,.627,0.240,4,6,0,20,17.1,5,.432,1.059
Tristan Gray LHB,Batting Ninth ​,="15-57",.263,.456,0.193,3,2,0,20,38.7,2,.279,.735
Alex Jackson RHB,Batting Ninth ​,="5-17",.294,.353,0.059,0,1,0,1,52.9,0,.294,.647
Ryan Kreidler RHB,Batting Ninth ​,="3-24",.125,.375,0.250,2,0,0,5,29.6,3,.222,.597
James Outman LHB,Batting Ninth ​,="10-46",.217,.348,0.131,0,4,1,3,36.2,1,.234,.582
