Matchup,KC @ TB
Pitcher,Casey Legumina
Pitcher Team,TB
Opposing Team,KC

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,2.0,2.50,="3-9",.333,.333,0.000,0,0,0,0,18.2,2,.455,.788
Batting Second,2.0,1.50,="3-9",.333,.667,0.334,1,0,0,1,10.0,0,.400,1.067
Batting Third,3.1,1.50,="4-13",.308,.385,0.077,0,1,0,0,14.3,1,.357,.742
Batting Fourth,4.0,1.25,="5-16",.313,.375,0.062,0,1,0,0,18.8,0,.313,.688
Batting Fifth,4.0,1.25,="5-15",.333,.400,0.067,0,1,0,1,11.8,0,.375,.775
Batting Sixth,3.2,1.64,="3-13",.231,.231,0.000,0,0,0,2,17.6,3,.353,.584
Batting Seventh,5.0,0.80,="4-17",.235,.353,0.118,0,2,0,2,16.7,0,.222,.575
Batting Eighth,4.0,1.25,="4-14",.286,.571,0.285,1,1,0,5,17.6,1,.353,.924
Batting Ninth,3.0,1.33,="4-12",.333,.500,0.167,0,2,0,0,30.8,0,.385,.885

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Lane Thomas RHB,Batting First ​,="10-41",.244,.415,0.171,2,1,0,7,17.8,3,.311,.726
Bobby Witt Jr. RHB,Batting Second ​,="88-299",.294,.465,0.171,10,19,1,32,16.9,35,.368,.833
Salvador Perez RHB,Batting Fourth ​,="47-241",.195,.328,0.133,8,8,0,28,20.0,9,.238,.566
Carter Jensen LHB,Batting Fifth ​,="28-129",.217,.395,0.178,6,5,0,18,28.7,17,.307,.702
Starling Marte RHB,Batting Sixth ​,="9-32",.281,.313,0.032,0,1,0,2,13.9,2,.333,.646
John Rave LHB,Batting Seventh ​,="4-12",.333,.917,0.584,1,2,1,1,28.6,2,.429,1.346
Isaac Collins SHB,Batting Seventh ​,="21-77",.273,.390,0.117,1,6,0,10,23.2,16,.389,.779
Jac Caglianone LHB,Batting Seventh ​,="22-79",.278,.456,0.178,2,6,1,5,28.7,6,.345,.801
Josh Rojas LHB,Batting Eighth ​,="1-5",.200,.200,0.000,0,0,0,2,0.0,0,.200,.400
Nick Loftin RHB,Batting Eighth ​,="14-60",.233,.450,0.217,2,5,1,13,12.5,8,.324,.774
Michael Massey LHB,Batting Eighth ​,="15-66",.227,.379,0.152,2,4,0,6,17.4,1,.235,.614
Kameron Misner LHB,Batting Ninth ​,="2-12",.167,.250,0.083,0,1,0,1,50.0,0,.167,.417
Tyler Tolbert RHB,Batting Ninth ​,="2-10",.200,.200,0.000,0,0,0,1,25.0,1,.250,.450
