Matchup,KC @ TB
Pitcher,Michael Wacha
Pitcher Team,KC
Opposing Team,TB

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,12.2,0.71,="5-41",.122,.195,0.073,1,0,0,3,27.7,4,.213,.408
Batting Second,10.1,1.65,="12-40",.300,.550,0.250,2,4,0,5,13.0,5,.391,.941
Batting Third,12.1,0.73,="6-41",.146,.195,0.049,0,2,0,0,34.1,3,.205,.400
Batting Fourth,10.0,1.50,="11-39",.282,.667,0.385,3,4,1,7,18.2,4,.364,1.031
Batting Fifth,10.2,1.13,="12-44",.273,.455,0.182,1,3,1,4,11.4,0,.273,.728
Batting Sixth,9.1,1.61,="10-37",.270,.378,0.108,1,1,0,6,11.6,5,.372,.750
Batting Seventh,9.2,1.55,="10-36",.278,.389,0.111,0,4,0,4,21.4,5,.366,.755
Batting Eighth,8.1,1.56,="11-36",.306,.528,0.222,2,2,0,5,15.8,2,.342,.870
Batting Ninth,10.0,0.50,="5-33",.152,.273,0.121,0,0,2,2,14.7,0,.152,.425

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Yandy Diaz RHB,Batting First ​,="58-160",.363,.538,0.175,6,8,1,33,14.5,18,.441,.979
Chandler Simpson LHB,Batting First ​,="36-143",.252,.301,0.049,0,3,2,6,13.8,7,.285,.586
Junior Caminero RHB,Batting Second ​,="38-128",.297,.531,0.234,8,6,0,16,14.5,16,.372,.903
Jonathan Aranda LHB,Batting Third ​,="32-120",.267,.467,0.200,6,6,0,28,23.0,23,.378,.845
Ryan Vilade RHB,Batting Fourth ​,="20-49",.408,.633,0.225,2,3,1,13,15.0,8,.475,1.108
Jonny DeLuca RHB,Batting Fifth ​,="15-46",.326,.543,0.217,1,7,0,12,18.4,2,.354,.897
Richie Palacios LHB,Batting Fifth ​,="12-50",.240,.320,0.080,0,2,1,8,18.2,5,.309,.629
Ben Williamson RHB,Batting Sixth ​,="15-75",.200,.267,0.067,0,3,1,5,22.2,5,.259,.526
Cedric Mullins LHB,Batting Seventh ​,="14-74",.189,.365,0.176,4,1,0,8,18.1,6,.259,.624
Victor Mesa Jr. LHB,Batting Seventh ​,="2-20",.100,.250,0.150,1,0,0,2,20.8,3,.217,.467
Nick Fortes RHB,Batting Eighth ​,="25-106",.236,.274,0.038,0,4,0,9,12.2,2,.274,.548
Hunter Feduccia LHB,Batting Eighth ​,="14-65",.215,.308,0.093,1,3,0,7,29.7,6,.288,.596
Taylor Walls SHB,Batting Ninth ​,="29-144",.201,.264,0.063,0,5,2,16,25.6,21,.304,.568
