Matchup,KC @ TOR
Pitcher,Randy Dobnak
Pitcher Team,KC
Opposing Team,TOR

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,7.0,0.71,="2-21",.095,.238,0.143,1,0,0,1,16.7,3,.208,.446
Batting Second,6.1,1.11,="6-23",.261,.304,0.043,0,1,0,0,12.5,1,.292,.596
Batting Third,4.2,1.93,="7-20",.350,.350,0.000,0,0,0,1,8.7,2,.409,.759
Batting Fourth,4.2,1.50,="4-18",.222,.222,0.000,0,0,0,0,9.5,3,.333,.555
Batting Fifth,3.2,3.00,="8-18",.444,.500,0.056,0,1,0,2,13.6,3,.500,1.000
Batting Sixth,4.1,1.85,="6-19",.316,.526,0.210,1,1,0,3,9.5,2,.381,.907
Batting Seventh,6.0,0.50,="1-18",.056,.111,0.055,0,1,0,1,33.3,2,.143,.254
Batting Eighth,4.2,1.50,="6-20",.300,.400,0.100,0,2,0,0,14.3,1,.333,.733
Batting Ninth,4.0,1.75,="4-16",.250,.375,0.125,0,2,0,0,15.8,3,.368,.743

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
George Springer RHB,Batting First ​,="53-241",.220,.373,0.153,8,11,1,20,20.3,28,.308,.681
Brett Bateman LHB,Batting First ​,="16-43",.372,.442,0.070,0,1,1,3,23.4,2,.391,.833
Nathan Lukes LHB,Batting Second ​,="34-138",.246,.319,0.073,3,1,0,10,13.7,15,.325,.644
Vladimir Guerrero Jr. RHB,Batting Third ​,="84-311",.270,.370,0.100,5,16,0,34,12.3,33,.343,.713
Jesus Sanchez LHB,Batting Fourth ​,="29-98",.296,.480,0.184,4,6,0,13,19.4,6,.324,.804
Kazuma Okamoto RHB,Batting Fourth ​,="37-171",.216,.374,0.158,8,3,0,29,30.4,19,.299,.673
Alejandro Kirk RHB,Batting Fifth ​,="21-81",.259,.444,0.185,4,3,0,10,16.1,12,.355,.799
Daz Cameron RHB,Batting Seventh ​,="1-9",.111,.222,0.111,0,1,0,2,30.0,0,.100,.322
Ernie Clement RHB,Batting Seventh ​,="31-111",.279,.387,0.108,2,6,0,13,9.5,4,.302,.689
Andres Gimenez LHB,Batting Eighth ​,="42-182",.231,.357,0.126,5,8,0,26,18.8,5,.276,.633
Myles Straw RHB,Batting Ninth ​,="14-66",.212,.364,0.152,0,8,1,5,5.4,6,.274,.638
Brandon Valenzuela SHB,Batting Ninth ​,="20-92",.217,.457,0.240,6,4,0,13,23.8,13,.314,.771
Charles McAdoo RHB,Batting Ninth ​,="5-15",.333,.467,0.134,0,2,0,4,20.0,0,.333,.800
