Matchup,LAD @ ATH
Pitcher,Eric Lauer
Pitcher Team,LAD
Opposing Team,ATH

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,8.1,1.20,="9-33",.273,.364,0.091,0,3,0,1,11.4,1,.286,.650
Batting Second,7.0,1.71,="7-27",.259,.593,0.334,3,0,0,4,18.2,5,.394,.987
Batting Third,7.1,1.36,="6-25",.240,.560,0.320,2,2,0,7,16.7,4,.333,.893
Batting Fourth,6.1,1.42,="5-25",.200,.640,0.440,3,0,1,7,24.1,4,.310,.950
Batting Fifth,6.2,1.50,="9-28",.321,.679,0.358,3,1,0,5,10.3,1,.345,1.024
Batting Sixth,7.0,1.29,="6-26",.231,.462,0.231,2,0,0,3,10.0,3,.310,.772
Batting Seventh,8.1,0.72,="4-28",.143,.357,0.214,2,0,0,5,10.0,2,.200,.557
Batting Eighth,6.2,1.35,="7-26",.269,.385,0.116,1,0,0,1,10.3,2,.321,.706
Batting Ninth,7.0,0.71,="3-23",.130,.130,0.000,0,0,0,1,30.8,2,.200,.330

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Carlos Cortes LHB,Batting First ​,="12-46",.261,.348,0.087,1,1,0,1,8.6,11,.414,.762
Colby Thomas RHB,Batting First ​,="2-16",.125,.313,0.188,1,0,0,1,35.3,1,.176,.489
Shea Langeliers RHB,Batting Second ​,="51-169",.302,.556,0.254,11,10,0,24,17.4,17,.374,.930
Nick Kurtz LHB,Batting Second ​,="35-127",.276,.551,0.275,10,5,0,30,34.2,25,.395,.946
Tyler Soderstrom LHB,Batting Fourth ​,="29-120",.242,.433,0.191,5,8,0,17,10.8,18,.338,.771
Jonah Heim SHB,Batting Fifth ​,="8-34",.235,.471,0.236,2,2,0,7,19.5,6,.341,.812
Jacob Wilson RHB,Batting Fifth ​,="33-117",.282,.410,0.128,3,6,0,15,10.7,4,.303,.713
Joey Meneses RHB,Batting Sixth ​,="1-7",.143,.143,0.000,0,0,0,1,11.1,2,.333,.476
Lawrence Butler LHB,Batting Sixth ​,="15-55",.273,.418,0.145,2,2,0,8,27.9,6,.344,.762
Henry Bolte RHB,Batting Sixth ​,="13-38",.342,.368,0.026,0,1,0,0,30.0,1,.375,.743
Max Muncy RHB,Batting Seventh ​,="23-85",.271,.400,0.129,2,3,1,10,33.7,3,.316,.716
Jeff McNeil LHB,Batting Eighth ​,="18-87",.207,.218,0.011,0,1,0,5,14.3,10,.296,.514
Alika Williams RHB,Batting Ninth ​,="17-58",.293,.448,0.155,1,6,0,7,29.5,2,.317,.765
