Matchup,LAD @ CIN
Pitcher,Blake Snell
Pitcher Team,LAD
Opposing Team,CIN

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,5.1,0.56,="3-19",.158,.263,0.105,0,2,0,2,40.0,0,.200,.463
Batting Second,4.0,2.00,="5-17",.294,.294,0.000,0,0,0,0,20.0,3,.400,.694
Batting Third,4.2,1.29,="3-17",.176,.176,0.000,0,0,0,2,40.0,3,.300,.476
Batting Fourth,6.0,0.67,="4-19",.211,.211,0.000,0,0,0,3,25.0,0,.200,.411
Batting Fifth,4.1,0.92,="2-15",.133,.133,0.000,0,0,0,1,29.4,2,.235,.368
Batting Sixth,3.2,1.09,="3-14",.214,.286,0.072,0,1,0,0,33.3,1,.267,.553
Batting Seventh,3.1,1.20,="2-12",.167,.250,0.083,0,1,0,0,42.9,2,.286,.536
Batting Eighth,2.2,1.88,="1-10",.100,.100,0.000,0,0,0,0,35.7,4,.357,.457
Batting Ninth,3.1,0.90,="2-12",.167,.250,0.083,0,1,0,0,35.7,1,.231,.481

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Dane Myers RHB,Batting First ​,="19-81",.235,.420,0.185,4,3,0,9,26.8,15,.361,.781
TJ Friedl LHB,Batting First ​,="26-137",.190,.277,0.087,2,6,0,7,22.6,12,.270,.547
Elly De La Cruz SHB,Batting First ​,="52-209",.249,.450,0.201,9,9,3,20,25.4,30,.342,.792
Héctor Rodríguez LHB,Batting First ​,="11-36",.306,.583,0.277,3,1,0,4,27.0,1,.324,.907
Matt McLain RHB,Batting Second ​,="23-119",.193,.294,0.101,2,6,0,9,27.1,19,.314,.608
Sal Stewart RHB,Batting Second ​,="58-208",.279,.514,0.235,14,7,0,43,22.4,13,.325,.839
JJ Bleday LHB,Batting Third ​,="40-182",.220,.407,0.187,9,5,1,17,23.1,29,.330,.737
Eugenio Suarez RHB,Batting Fifth ​,="52-237",.219,.439,0.220,14,10,0,44,31.2,27,.305,.744
Tyler Stephenson RHB,Batting Seventh ​,="22-101",.218,.386,0.168,4,5,0,15,31.0,13,.310,.696
Will Banfield RHB,Batting Seventh ​,="1-4",.250,.250,0.000,0,0,0,0,50.0,0,.250,.500
Juan Brito SHB,Batting Seventh ​,="11-48",.229,.438,0.209,2,4,0,10,30.9,5,.309,.747
Jose Trevino RHB,Batting Eighth ​,="20-85",.235,.400,0.165,4,2,0,12,13.5,1,.241,.641
Carlos Jorge LHB,Batting Eighth ​,="2-8",.250,.250,0.000,0,0,0,0,25.0,0,.250,.500
Ke'Bryan Hayes RHB,Batting Ninth ​,="28-191",.147,.230,0.083,4,2,1,7,19.6,11,.201,.431
