Matchup,LAD @ CWS
Pitcher,Erick Fedde
Pitcher Team,CWS
Opposing Team,LAD

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,8.2,0.92,="4-29",.138,.345,0.207,2,0,0,3,11.4,4,.257,.602
Batting Second,5.2,3.00,="12-27",.444,1.185,0.741,6,0,1,9,12.5,5,.531,1.716
Batting Third,7.1,1.23,="6-27",.222,.519,0.297,2,2,0,6,12.9,3,.290,.809
Batting Fourth,6.0,1.67,="9-27",.333,.630,0.297,2,2,0,4,14.3,1,.357,.987
Batting Fifth,7.0,1.29,="8-29",.276,.414,0.138,1,1,0,2,19.4,1,.300,.714
Batting Sixth,6.1,1.58,="6-25",.240,.240,0.000,0,0,0,3,16.7,4,.367,.607
Batting Seventh,6.2,1.65,="9-29",.310,.448,0.138,1,1,0,2,19.4,2,.355,.803
Batting Eighth,8.1,0.84,="5-27",.185,.185,0.000,0,0,0,1,20.0,2,.233,.418
Batting Ninth,6.2,1.05,="5-24",.208,.250,0.042,0,1,0,0,3.6,2,.296,.546

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Shohei Ohtani LHB,Batting First ​,="75-246",.305,.553,0.248,14,15,2,41,22.0,49,.426,.979
Kyle Tucker LHB,Batting Second ​,="20-84",.238,.333,0.095,2,2,0,11,24.7,12,.330,.663
Freddie Freeman LHB,Batting Third ​,="32-101",.317,.634,0.317,8,8,0,21,20.3,22,.438,1.072
Mookie Betts RHB,Batting Fourth ​,="15-60",.250,.383,0.133,2,2,0,7,15.2,6,.318,.701
Max Muncy LHB,Batting Sixth ​,="31-107",.290,.579,0.289,9,4,0,14,23.6,15,.382,.961
Ryan Ward LHB,Batting Seventh ​,="7-30",.233,.567,0.334,3,1,0,9,25.0,2,.281,.848
Andy Pages RHB,Batting Seventh ​,="19-70",.271,.414,0.143,2,4,0,15,21.5,6,.329,.743
Alex Call RHB,Batting Eighth ​,="9-32",.281,.313,0.032,0,1,0,8,12.5,5,.400,.713
Dalton Rushing LHB,Batting Eighth ​,="12-44",.273,.523,0.250,3,2,0,5,25.0,6,.385,.908
Miguel Rojas RHB,Batting Ninth ​,="10-43",.233,.256,0.023,0,1,0,3,14.3,3,.306,.562
Chuckie Robinson RHB,Batting Ninth ​,="0-2",.000,.000,0.000,0,0,0,0,0.0,0,.000,.000
Santiago Espinal RHB,Batting Ninth ​,="5-19",.263,.526,0.263,1,2,0,3,13.6,1,.286,.812
Alex Freeland SHB,Batting Ninth ​,="28-105",.267,.400,0.133,3,5,0,14,23.4,14,.355,.755
