Matchup,LAD @ MIN
Pitcher,Joe Ryan
Pitcher Team,MIN
Opposing Team,LAD

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,10.2,1.03,="10-44",.227,.364,0.137,1,3,0,4,29.8,1,.255,.619
Batting Second,11.2,1.11,="8-41",.195,.439,0.244,3,1,0,6,23.9,5,.283,.722
Batting Third,9.2,1.45,="12-40",.300,.550,0.250,2,4,0,6,27.9,2,.326,.876
Batting Fourth,10.1,0.97,="10-42",.238,.262,0.024,0,1,0,3,26.2,0,.238,.500
Batting Fifth,9.1,1.18,="8-35",.229,.400,0.171,1,3,0,5,39.5,3,.289,.689
Batting Sixth,10.0,0.60,="5-34",.147,.147,0.000,0,0,0,3,18.9,1,.216,.363
Batting Seventh,8.2,0.92,="5-30",.167,.233,0.066,0,2,0,0,23.5,3,.265,.498
Batting Eighth,9.0,0.56,="4-31",.129,.161,0.032,0,1,0,2,33.3,1,.182,.343
Batting Ninth,7.2,1.17,="7-30",.233,.367,0.134,1,1,0,3,31.3,2,.281,.648

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Shohei Ohtani LHB,Batting First ​,="79-269",.294,.554,0.260,17,15,2,45,22.8,54,.416,.970
Kyle Tucker LHB,Batting Second ​,="20-84",.238,.333,0.095,2,2,0,11,24.7,12,.330,.663
Andy Pages RHB,Batting Second ​,="26-105",.248,.457,0.209,4,8,1,12,19.1,8,.296,.753
Freddie Freeman LHB,Batting Third ​,="42-134",.313,.634,0.321,11,10,0,27,19.2,28,.431,1.065
Mookie Betts RHB,Batting Fourth ​,="26-96",.271,.438,0.167,4,4,0,10,16.2,9,.333,.771
Max Muncy LHB,Batting Sixth ​,="32-113",.283,.566,0.283,9,5,0,16,24.0,15,.372,.938
Tommy Edman SHB,Batting Sixth ​,="5-9",.556,.667,0.111,0,1,0,0,22.2,0,.556,1.223
Ryan Ward LHB,Batting Seventh ​,="10-43",.233,.512,0.279,3,3,0,9,29.2,5,.313,.825
Alex Call RHB,Batting Eighth ​,="9-34",.265,.294,0.029,0,1,0,8,14.3,5,.381,.675
Dalton Rushing LHB,Batting Eighth ​,="15-60",.250,.467,0.217,3,4,0,6,27.5,7,.348,.815
Miguel Rojas RHB,Batting Ninth ​,="12-45",.267,.356,0.089,1,1,0,4,13.7,3,.333,.689
Chuckie Robinson RHB,Batting Ninth ​,="2-12",.167,.167,0.000,0,0,0,1,14.3,0,.167,.334
Alex Freeland SHB,Batting Ninth ​,="33-118",.280,.407,0.127,3,6,0,17,25.9,15,.360,.767
