Matchup,LAD @ NYY
Pitcher,Roki Sasaki
Pitcher Team,LAD
Opposing Team,NYY

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,10.2,1.50,="14-44",.318,.500,0.182,1,5,0,6,21.7,2,.348,.848
Batting Second,9.0,2.11,="13-39",.333,.667,0.334,3,4,0,10,15.2,6,.413,1.080
Batting Third,10.1,1.16,="8-38",.211,.553,0.342,4,1,0,7,25.0,4,.318,.871
Batting Fourth,10.1,1.06,="7-38",.184,.395,0.211,2,2,0,3,28.6,4,.262,.657
Batting Fifth,9.0,1.44,="10-37",.270,.568,0.298,3,2,0,8,27.5,3,.325,.893
Batting Sixth,8.0,1.38,="5-29",.172,.379,0.207,2,0,0,2,17.1,6,.314,.693
Batting Seventh,8.2,1.04,="8-32",.250,.531,0.281,2,3,0,6,32.4,1,.294,.825
Batting Eighth,7.2,1.30,="7-29",.241,.448,0.207,1,3,0,2,21.2,3,.333,.781
Batting Ninth,7.1,1.23,="5-26",.192,.346,0.154,1,1,0,1,15.6,4,.323,.669

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Paul Goldschmidt RHB,Batting First ​,="26-88",.295,.568,0.273,6,4,1,15,19.0,11,.380,.948
Trent Grisham LHB,Batting First ​,="38-195",.195,.333,0.138,5,10,1,20,16.0,33,.307,.640
Ben Rice LHB,Batting Second ​,="52-186",.280,.597,0.317,15,8,3,37,21.1,21,.354,.951
Cody Bellinger LHB,Batting Fourth ​,="41-171",.240,.409,0.169,6,11,0,24,16.5,27,.340,.749
Jasson Dominguez SHB,Batting Fourth ​,="6-28",.214,.393,0.179,1,2,0,3,16.7,2,.267,.660
Jazz Chisholm Jr. LHB,Batting Fifth ​,="30-131",.229,.420,0.191,6,7,0,15,23.3,17,.313,.733
Amed Rosario RHB,Batting Sixth ​,="10-32",.313,.563,0.250,2,2,0,5,23.5,2,.353,.916
Ryan McMahon LHB,Batting Eighth ​,="23-88",.261,.443,0.182,4,4,0,13,29.3,4,.293,.736
Jose Caballero RHB,Batting Eighth ​,="23-89",.258,.382,0.124,2,5,0,9,22.9,5,.305,.687
Max Schuemann RHB,Batting Eighth ​,="8-21",.381,.667,0.286,1,3,0,5,17.9,6,.536,1.203
Anthony Volpe RHB,Batting Eighth ​,="11-45",.244,.422,0.178,1,3,1,9,20.0,10,.382,.804
Ali Sanchez RHB,Batting Ninth ​,="8-30",.267,.333,0.066,0,2,0,4,24.2,1,.303,.636
Austin Wells LHB,Batting Ninth ​,="13-104",.125,.212,0.087,3,0,0,5,28.1,9,.195,.407
