Matchup,MIA @ CHC
Pitcher,Kevin Gausman
Pitcher Team,CHC
Opposing Team,MIA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,19.2,1.73,="25-84",.298,.536,0.238,5,3,1,8,18.3,9,.366,.902
Batting Second,19.1,1.81,="22-78",.282,.526,0.244,6,1,0,14,18.7,13,.385,.911
Batting Third,21.0,1.38,="25-85",.294,.518,0.224,5,4,0,14,24.4,4,.322,.840
Batting Fourth,23.0,0.83,="13-78",.167,.205,0.038,0,3,0,7,17.2,6,.218,.423
Batting Fifth,19.1,1.19,="19-79",.241,.443,0.202,4,4,0,14,27.7,4,.277,.720
Batting Sixth,18.0,1.44,="20-72",.278,.431,0.153,3,2,0,8,26.3,6,.342,.773
Batting Seventh,18.0,1.06,="19-72",.264,.347,0.083,1,3,0,4,31.5,0,.264,.611
Batting Eighth,15.1,1.37,="18-64",.281,.406,0.125,1,3,1,8,28.4,3,.313,.719
Batting Ninth,17.1,0.75,="12-58",.207,.293,0.086,0,3,1,7,31.3,1,.217,.510

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jakob Marsee LHB,Batting First ​,="28-146",.192,.295,0.103,2,3,3,11,20.9,25,.316,.611
Kyle Stowers LHB,Batting Third ​,="27-118",.229,.466,0.237,6,6,2,23,30.9,16,.333,.799
Otto Lopez RHB,Batting Third ​,="55-200",.275,.380,0.105,3,10,1,21,15.0,8,.308,.688
Agustin Ramirez RHB,Batting Third ​,="21-72",.292,.389,0.097,1,4,0,11,19.5,3,.325,.714
Griffin Conine LHB,Batting Fourth ​,="8-52",.154,.385,0.231,4,0,0,6,46.4,2,.214,.599
Xavier Edwards SHB,Batting Fourth ​,="49-185",.265,.324,0.059,1,6,1,23,11.3,32,.365,.689
Heriberto Hernandez RHB,Batting Fifth ​,="24-103",.233,.417,0.184,5,2,1,16,25.2,8,.288,.705
Graham Pauley LHB,Batting Eighth ​,="21-72",.292,.556,0.264,4,5,1,19,19.8,6,.350,.906
Joe Mack LHB,Batting Eighth ​,="26-138",.188,.326,0.138,5,4,0,19,22.5,10,.247,.573
Jared Serna RHB,Batting Eighth ​,="3-13",.231,.385,0.154,0,2,0,2,33.3,1,.267,.652
Brian Navarreto RHB,Batting Ninth ​,="6-38",.158,.289,0.131,1,2,0,3,33.3,2,.214,.503
Esteury Ruiz RHB,Batting Ninth ​,="13-62",.210,.371,0.161,2,4,0,3,27.6,8,.338,.709
Deyvison De Los Santos RHB,Batting Ninth ​,="2-10",.200,.200,0.000,0,0,0,0,30.0,0,.200,.400
Javier Sanoja RHB,Batting Ninth ​,="51-158",.323,.462,0.139,3,13,0,19,7.8,8,.355,.817
