Matchup,MIA @ CIN
Pitcher,Brady Singer
Pitcher Team,CIN
Opposing Team,MIA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,14.2,1.64,="17-61",.279,.492,0.213,4,1,0,7,16.2,7,.353,.845
Batting Second,15.0,1.47,="17-61",.279,.492,0.213,3,2,1,7,24.2,5,.333,.825
Batting Third,13.1,1.65,="16-56",.286,.554,0.268,3,4,1,8,27.0,6,.365,.919
Batting Fourth,12.2,1.97,="21-56",.375,.518,0.143,2,2,0,9,12.9,4,.419,.937
Batting Fifth,12.1,1.62,="16-53",.302,.472,0.170,2,3,0,5,16.9,4,.373,.845
Batting Sixth,14.0,1.36,="14-54",.259,.426,0.167,2,3,0,5,20.3,5,.322,.748
Batting Seventh,13.1,0.98,="11-48",.229,.438,0.209,3,1,0,11,20.0,2,.296,.734
Batting Eighth,11.2,1.11,="9-46",.196,.304,0.108,1,2,0,2,13.7,4,.275,.579
Batting Ninth,11.1,1.15,="10-43",.233,.395,0.162,2,1,0,6,17.0,3,.277,.672

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jakob Marsee LHB,Batting First ​,="23-131",.176,.252,0.076,1,3,2,10,22.2,21,.297,.549
Otto Lopez RHB,Batting Third ​,="49-174",.282,.397,0.115,3,9,1,19,15.8,4,.304,.701
Agustin Ramirez RHB,Batting Third ​,="16-52",.308,.423,0.115,1,3,0,9,19.3,3,.351,.774
Xavier Edwards SHB,Batting Fourth ​,="46-171",.269,.333,0.064,1,6,1,21,12.2,29,.366,.699
Heriberto Hernandez RHB,Batting Fifth ​,="20-91",.220,.396,0.176,4,2,1,13,25.5,7,.276,.672
Griffin Conine LHB,Batting Sixth ​,="11-39",.282,.641,0.359,4,2,0,7,22.7,5,.364,1.005
Owen Caissie LHB,Batting Sixth ​,="20-101",.198,.356,0.158,4,4,0,21,35.7,9,.270,.626
Leo Jimenez RHB,Batting Seventh ​,="8-37",.216,.324,0.108,1,1,0,5,22.7,3,.341,.665
Joe Mack LHB,Batting Eighth ​,="22-110",.200,.373,0.173,5,4,0,16,19.2,8,.261,.634
Brian Navarreto RHB,Batting Ninth ​,="2-11",.182,.273,0.091,0,1,0,0,26.7,1,.308,.581
Esteury Ruiz RHB,Batting Ninth ​,="10-45",.222,.444,0.222,2,4,0,2,28.3,5,.327,.771
Graham Pauley LHB,Batting Ninth ​,="6-50",.120,.180,0.060,0,3,0,3,32.1,2,.154,.334
Javier Sanoja RHB,Batting Ninth ​,="40-139",.288,.403,0.115,1,13,0,14,8.8,8,.327,.730
