Matchup,MIA @ COL
Pitcher,Max Meyer
Pitcher Team,MIA
Opposing Team,COL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,11.2,1.46,="9-43",.209,.395,0.186,2,0,1,3,28.8,8,.346,.741
Batting Second,12.1,0.89,="8-45",.178,.267,0.089,1,1,0,3,33.3,3,.275,.542
Batting Third,11.2,1.46,="9-43",.209,.442,0.233,2,4,0,4,17.6,8,.333,.775
Batting Fourth,12.1,0.81,="6-43",.140,.233,0.093,1,1,0,3,35.4,4,.229,.462
Batting Fifth,9.2,1.55,="10-39",.256,.333,0.077,0,3,0,2,20.0,5,.356,.689
Batting Sixth,10.0,1.10,="8-36",.222,.361,0.139,1,2,0,6,19.5,3,.293,.654
Batting Seventh,9.0,1.44,="12-38",.316,.421,0.105,1,1,0,5,17.9,1,.333,.754
Batting Eighth,9.0,1.00,="7-35",.200,.229,0.029,0,1,0,1,35.1,2,.243,.472
Batting Ninth,10.2,0.47,="3-34",.088,.118,0.030,0,1,0,0,32.4,2,.139,.257

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jake McCarthy LHB,Batting First ​,="36-126",.286,.492,0.206,4,10,2,15,16.4,6,.321,.813
Edouard Julien LHB,Batting First ​,="28-111",.252,.342,0.090,2,2,1,12,25.4,15,.341,.683
Mickey Moniak LHB,Batting Second ​,="27-116",.233,.543,0.310,9,7,1,21,23.6,6,.276,.819
Tyler Freeman RHB,Batting Second ​,="26-91",.286,.385,0.099,2,1,1,12,18.3,4,.363,.748
TJ Rumfield LHB,Batting Third ​,="32-135",.237,.437,0.200,5,10,1,22,14.9,15,.331,.768
Hunter Goodman RHB,Batting Third ​,="24-129",.186,.465,0.279,10,6,0,19,34.3,5,.226,.691
Troy Johnston LHB,Batting Fifth ​,="28-104",.269,.317,0.048,0,5,0,11,16.1,11,.347,.664
Willi Castro SHB,Batting Sixth ​,="23-68",.338,.529,0.191,3,4,0,12,27.3,7,.403,.932
Cole Carrigg SHB,Batting Sixth ​,="8-32",.250,.563,0.313,3,1,0,8,21.6,4,.351,.914
Ezequiel Tovar RHB,Batting Eighth ​,="13-77",.169,.234,0.065,1,2,0,7,27.1,6,.224,.458
Braxton Fulford RHB,Batting Eighth ​,="2-12",.167,.167,0.000,0,0,0,2,53.3,1,.267,.434
Kyle Karros RHB,Batting Eighth ​,="21-80",.263,.438,0.175,2,8,0,9,20.4,17,.388,.826
Brett Sullivan LHB,Batting Ninth ​,="10-52",.192,.308,0.116,2,0,0,4,23.6,1,.218,.526
