Matchup,MIA @ PHI
Pitcher,Cristopher Sanchez
Pitcher Team,PHI
Opposing Team,MIA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,20.2,1.02,="17-77",.221,.338,0.117,2,3,0,2,32.9,4,.259,.597
Batting Second,20.0,1.05,="16-74",.216,.297,0.081,1,3,0,2,20.3,5,.266,.563
Batting Third,15.1,1.70,="21-68",.309,.471,0.162,2,5,0,5,21.1,5,.382,.853
Batting Fourth,20.0,0.80,="14-71",.197,.197,0.000,0,0,0,2,37.0,2,.219,.416
Batting Fifth,15.0,1.80,="22-68",.324,.441,0.117,1,5,0,5,20.5,5,.370,.811
Batting Sixth,15.2,1.53,="20-67",.299,.522,0.223,4,3,0,12,31.0,4,.338,.860
Batting Seventh,16.0,1.38,="18-62",.290,.452,0.162,2,4,0,9,26.5,4,.338,.790
Batting Eighth,15.1,1.11,="14-61",.230,.311,0.081,1,2,0,3,28.1,3,.266,.577
Batting Ninth,16.0,0.75,="9-56",.161,.179,0.018,0,1,0,1,36.7,3,.217,.396

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jakob Marsee LHB,Batting First ​,="27-135",.200,.296,0.096,2,3,2,11,21.6,21,.314,.610
Otto Lopez RHB,Batting Third ​,="49-174",.282,.397,0.115,3,9,1,19,15.8,4,.304,.701
Agustin Ramirez RHB,Batting Third ​,="18-57",.316,.439,0.123,1,4,0,11,17.7,3,.355,.794
Xavier Edwards SHB,Batting Fourth ​,="47-174",.270,.333,0.063,1,6,1,21,11.9,31,.371,.704
Heriberto Hernandez RHB,Batting Fifth ​,="20-91",.220,.396,0.176,4,2,1,13,25.5,7,.276,.672
Griffin Conine LHB,Batting Sixth ​,="11-39",.282,.641,0.359,4,2,0,8,22.2,6,.378,1.019
Leo Jimenez RHB,Batting Sixth ​,="8-40",.200,.325,0.125,1,2,0,4,27.9,3,.256,.581
Owen Caissie LHB,Batting Sixth ​,="21-104",.202,.365,0.163,4,5,0,21,35.0,10,.283,.648
Joe Mack LHB,Batting Eighth ​,="22-110",.200,.373,0.173,5,4,0,16,19.2,8,.261,.634
Brian Navarreto RHB,Batting Ninth ​,="2-16",.125,.188,0.063,0,1,0,0,30.0,1,.222,.410
Esteury Ruiz RHB,Batting Ninth ​,="10-48",.208,.417,0.209,2,4,0,2,29.3,6,.333,.750
Graham Pauley LHB,Batting Ninth ​,="6-50",.120,.180,0.060,0,3,0,3,32.1,2,.154,.334
Javier Sanoja RHB,Batting Ninth ​,="40-139",.288,.403,0.115,1,13,0,14,8.8,8,.327,.730
