Matchup,MIA @ PIT
Pitcher,Bubba Chandler
Pitcher Team,PIT
Opposing Team,MIA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,7.2,1.96,="10-31",.323,.452,0.129,0,4,0,3,21.6,5,.417,.869
Batting Second,5.2,3.35,="12-29",.414,.759,0.345,2,2,1,8,22.2,7,.528,1.287
Batting Third,7.2,1.57,="6-29",.207,.552,0.345,3,1,0,11,16.7,6,.333,.885
Batting Fourth,10.1,0.29,="1-31",.032,.032,0.000,0,0,0,1,32.4,2,.088,.120
Batting Fifth,7.0,1.14,="6-28",.214,.393,0.179,1,2,0,6,19.4,2,.290,.683
Batting Sixth,6.2,1.05,="3-23",.130,.348,0.218,1,2,0,2,22.2,4,.259,.607
Batting Seventh,6.2,1.05,="2-22",.091,.136,0.045,0,1,0,1,18.5,5,.259,.395
Batting Eighth,5.1,1.88,="4-20",.200,.350,0.150,1,0,0,1,23.1,6,.385,.735
Batting Ninth,5.1,1.69,="6-22",.273,.318,0.045,0,1,0,0,24.0,3,.360,.678

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Xavier Edwards SHB,Batting First ​,="25-94",.266,.468,0.202,4,3,2,9,14.4,10,.337,.805
Jakob Marsee LHB,Batting First ​,="18-101",.178,.248,0.070,1,2,1,7,25.4,17,.306,.554
Liam Hicks LHB,Batting Second ​,="19-75",.253,.400,0.147,3,2,0,14,9.5,7,.333,.733
Otto Lopez RHB,Batting Third ​,="37-127",.291,.409,0.118,2,7,1,16,18.2,4,.321,.730
Kyle Stowers LHB,Batting Fourth ​,="19-76",.250,.461,0.211,3,7,0,8,30.2,8,.337,.798
Heriberto Hernandez RHB,Batting Fifth ​,="7-34",.206,.294,0.088,0,1,1,5,18.9,3,.270,.564
Owen Caissie LHB,Batting Sixth ​,="12-64",.188,.297,0.109,1,4,0,13,39.4,4,.239,.536
Connor Norby RHB,Batting Seventh ​,="9-48",.188,.333,0.145,1,4,0,5,32.1,6,.286,.619
Christopher Morel RHB,Batting Eighth ​,="3-17",.176,.235,0.059,0,1,0,0,45.0,2,.300,.535
Leo Jimenez RHB,Batting Eighth ​,="5-21",.238,.238,0.000,0,0,0,1,7.4,4,.370,.608
Joe Mack LHB,Batting Eighth ​,="9-42",.214,.238,0.024,0,1,0,5,21.3,4,.283,.521
Esteury Ruiz RHB,Batting Ninth ​,="4-25",.160,.320,0.160,1,1,0,1,40.7,2,.222,.542
Javier Sanoja RHB,Batting Ninth ​,="24-89",.270,.382,0.112,1,7,0,11,11.5,6,.316,.698
