Matchup,MIL @ CHC
Pitcher,Robert Gasser
Pitcher Team,MIL
Opposing Team,CHC

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,12.0,0.83,="7-42",.167,.286,0.119,1,2,0,4,19.1,3,.255,.541
Batting Second,10.1,1.26,="9-41",.220,.366,0.146,2,0,0,3,27.7,4,.319,.685
Batting Third,9.2,1.45,="11-39",.282,.359,0.077,0,3,0,3,20.9,3,.326,.685
Batting Fourth,8.1,1.92,="12-36",.333,.639,0.306,2,5,0,11,17.5,4,.400,1.039
Batting Fifth,9.2,1.03,="6-35",.171,.343,0.172,1,3,0,3,20.0,4,.275,.618
Batting Sixth,8.1,1.20,="8-33",.242,.424,0.182,1,1,1,1,21.6,2,.324,.748
Batting Seventh,7.0,2.14,="11-31",.355,.710,0.355,3,2,0,8,25.0,4,.444,1.154
Batting Eighth,9.0,0.78,="7-33",.212,.333,0.121,1,1,0,1,17.6,0,.212,.545
Batting Ninth,7.2,1.57,="11-32",.344,.531,0.187,2,0,0,5,26.5,1,.364,.895

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Pete Crow-Armstrong LHB,Batting First ​,="103-333",.309,.685,0.376,31,22,5,67,26.6,53,.410,1.095
Seiya Suzuki RHB,Batting Second ​,="49-168",.292,.536,0.244,9,14,0,33,22.5,31,.405,.941
Alex Bregman RHB,Batting Third ​,="63-217",.290,.539,0.249,14,12,0,43,14.3,24,.367,.906
Michael Busch LHB,Batting Third ​,="52-226",.230,.376,0.146,9,6,0,31,24.0,34,.341,.717
Ian Happ SHB,Batting Fifth ​,="50-204",.245,.490,0.245,11,15,1,33,26.8,23,.330,.820
Nico Hoerner RHB,Batting Sixth ​,="61-212",.288,.368,0.080,2,9,1,23,11.5,8,.313,.681
Carson Kelly RHB,Batting Seventh ​,="22-85",.259,.376,0.117,2,4,0,17,19.6,11,.351,.727
Michael Conforto LHB,Batting Seventh ​,="14-66",.212,.409,0.197,4,1,0,9,32.4,7,.284,.693
Gabriel Arias RHB,Batting Seventh ​,="13-57",.228,.246,0.018,0,1,0,3,40.0,3,.267,.513
Pedro Ramirez SHB,Batting Seventh ​,="23-84",.274,.464,0.190,3,5,1,16,21.5,7,.337,.801
Matt Shaw RHB,Batting Seventh ​,="13-39",.333,.718,0.385,4,1,1,10,22.0,2,.366,1.084
Tyrone Taylor RHB,Batting Ninth ​,="12-44",.273,.341,0.068,0,3,0,2,10.4,2,.319,.660
Miguel Amaya RHB,Batting Ninth ​,="27-93",.290,.473,0.183,4,5,0,15,22.6,10,.377,.850
