Matchup,MIL @ CIN
Pitcher,Shane Drohan
Pitcher Team,MIL
Opposing Team,CIN

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,6.0,0.83,="4-22",.182,.227,0.045,0,1,0,0,21.7,1,.217,.444
Batting Second,4.2,1.93,="4-18",.222,.500,0.278,1,2,0,2,21.7,5,.391,.891
Batting Third,6.0,1.17,="4-21",.190,.238,0.048,0,1,0,1,25.0,3,.292,.530
Batting Fourth,7.1,0.68,="2-23",.087,.174,0.087,0,0,1,4,19.2,3,.192,.366
Batting Fifth,4.1,2.77,="11-23",.478,.652,0.174,1,1,0,3,19.2,1,.500,1.152
Batting Sixth,5.2,1.06,="5-21",.238,.524,0.286,2,0,0,4,27.3,1,.273,.797
Batting Seventh,3.2,1.36,="5-18",.278,.444,0.166,0,3,0,2,44.4,0,.278,.722
Batting Eighth,4.0,1.25,="5-17",.294,.353,0.059,0,1,0,3,29.4,0,.294,.647
Batting Ninth,5.2,0.35,="2-18",.111,.167,0.056,0,1,0,1,10.5,0,.105,.272

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Dane Myers RHB,Batting First ​,="10-44",.227,.455,0.228,3,1,0,6,29.1,10,.382,.837
Blake Dunn RHB,Batting First ​,="22-94",.234,.298,0.064,1,3,0,3,20.6,6,.294,.592
JJ Bleday LHB,Batting Second ​,="19-99",.192,.444,0.252,7,4,0,14,22.6,13,.289,.733
Matt McLain RHB,Batting Second ​,="23-118",.195,.297,0.102,2,6,0,9,27.3,19,.317,.614
Elly De La Cruz SHB,Batting Third ​,="49-168",.292,.518,0.226,10,8,0,29,28.0,17,.355,.873
Sal Stewart RHB,Batting Fourth ​,="53-195",.272,.503,0.231,11,12,0,36,20.4,27,.360,.863
Eugenio Suarez RHB,Batting Fifth ​,="31-144",.215,.382,0.167,6,6,0,22,32.3,13,.278,.660
Nathaniel Lowe LHB,Batting Sixth ​,="18-65",.277,.508,0.231,3,6,0,13,18.7,10,.373,.881
Spencer Steer RHB,Batting Sixth ​,="21-104",.202,.346,0.144,4,3,0,7,28.3,12,.300,.646
Noelvi Marte RHB,Batting Seventh ​,="7-32",.219,.469,0.250,2,2,0,3,28.6,3,.286,.755
Jose Trevino RHB,Batting Eighth ​,="7-40",.175,.200,0.025,0,1,0,2,14.0,1,.195,.395
Tyler Stephenson RHB,Batting Eighth ​,="25-91",.275,.451,0.176,4,4,0,11,19.2,12,.356,.807
Edwin Arroyo SHB,Batting Ninth ​,="10-39",.256,.308,0.052,0,2,0,1,14.0,3,.302,.610
