Matchup,MIL @ HOU
Pitcher,Tatsuya Imai
Pitcher Team,HOU
Opposing Team,MIL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,2.1,3.43,="2-8",.250,.250,0.000,0,0,0,0,0.0,6,.571,.821
Batting Second,3.2,1.09,="2-12",.167,.167,0.000,0,0,0,0,50.0,2,.286,.453
Batting Third,3.0,2.00,="2-9",.222,.222,0.000,0,0,0,0,15.4,4,.462,.684
Batting Fourth,2.2,1.88,="1-8",.125,.250,0.125,0,1,0,3,33.3,4,.417,.667
Batting Fifth,2.0,1.50,="3-9",.333,1.333,1.000,3,0,0,6,0.0,0,.455,1.788
Batting Sixth,2.2,0.75,="2-10",.200,.200,0.000,0,0,0,2,36.4,0,.273,.473
Batting Seventh,2.0,2.00,="2-8",.250,.250,0.000,0,0,0,0,20.0,2,.400,.650
Batting Eighth,2.1,0.86,="2-9",.222,.556,0.334,1,0,0,4,44.4,0,.222,.778
Batting Ninth,2.2,0.38,="1-9",.111,.111,0.000,0,0,0,0,0.0,0,.111,.222

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jackson Chourio RHB,Batting First ​,="15-66",.227,.333,0.106,1,4,0,4,34.3,4,.271,.604
Brice Turang LHB,Batting Second ​,="21-81",.259,.395,0.136,2,5,0,8,23.7,15,.375,.770
William Contreras RHB,Batting Third ​,="35-95",.368,.505,0.137,3,4,0,18,12.1,11,.430,.935
Christian Yelich LHB,Batting Fourth ​,="11-45",.244,.622,0.378,4,3,1,9,29.4,6,.333,.955
Gary Sanchez RHB,Batting Fourth ​,="12-55",.218,.418,0.200,2,3,1,7,26.9,11,.358,.776
Jake Bauers LHB,Batting Fifth ​,="23-73",.315,.575,0.260,5,4,0,18,16.3,12,.419,.994
Garrett Mitchell LHB,Batting Fifth ​,="11-40",.275,.475,0.200,1,3,1,13,31.1,4,.356,.831
Andrew Vaughn RHB,Batting Fifth ​,="12-27",.444,.667,0.223,0,6,0,4,15.2,5,.545,1.212
Luis Rengifo SHB,Batting Sixth ​,="15-49",.306,.408,0.102,0,5,0,8,10.7,6,.393,.801
Sal Frelick LHB,Batting Seventh ​,="14-64",.219,.313,0.094,2,0,0,8,6.8,7,.296,.609
Blake Perkins SHB,Batting Eighth ​,="3-29",.103,.138,0.035,0,1,0,3,24.2,4,.212,.350
David Hamilton LHB,Batting Ninth ​,="13-73",.178,.247,0.069,1,0,1,4,20.2,7,.259,.506
Joey Ortiz RHB,Batting Ninth ​,="14-79",.177,.228,0.051,1,1,0,10,17.6,9,.256,.484
