Matchup,MIL @ LAA
Pitcher,Shane Drohan
Pitcher Team,MIL
Opposing Team,LAA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,10.1,0.87,="8-39",.205,.282,0.077,0,1,1,1,29.3,1,.220,.502
Batting Second,9.0,1.67,="9-35",.257,.457,0.200,1,4,0,3,22.0,6,.366,.823
Batting Third,9.1,1.50,="7-34",.206,.294,0.088,0,3,0,3,26.8,7,.341,.635
Batting Fourth,11.0,1.00,="7-39",.179,.359,0.180,1,2,1,8,25.6,4,.256,.615
Batting Fifth,8.1,2.16,="17-38",.447,.605,0.158,1,3,0,4,16.3,1,.476,1.081
Batting Sixth,9.1,1.18,="9-36",.250,.528,0.278,3,1,0,7,21.1,2,.289,.817
Batting Seventh,7.1,1.23,="8-31",.258,.355,0.097,0,3,0,4,29.4,1,.294,.649
Batting Eighth,7.2,0.91,="6-29",.207,.241,0.034,0,1,0,3,23.3,1,.233,.474
Batting Ninth,9.0,0.44,="4-30",.133,.167,0.034,0,1,0,2,22.6,0,.129,.296

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Zach Neto RHB,Batting First ​,="93-408",.228,.426,0.198,18,21,3,44,31.4,46,.316,.742
Mike Trout RHB,Batting Second ​,="79-324",.244,.460,0.216,18,16,0,40,24.4,75,.393,.853
Vaughn Grissom RHB,Batting Third ​,="23-84",.274,.417,0.143,2,6,0,24,12.8,6,.319,.736
Nolan Schanuel LHB,Batting Third ​,="58-200",.290,.415,0.125,4,13,0,22,14.9,18,.347,.762
Jorge Soler RHB,Batting Fourth ​,="58-293",.198,.369,0.171,12,14,0,46,32.7,34,.289,.658
Wade Meckler LHB,Batting Fifth ​,="10-45",.222,.311,0.089,1,1,0,5,19.1,2,.255,.566
Jo Adell RHB,Batting Sixth ​,="43-161",.267,.422,0.155,6,5,1,21,22.4,5,.306,.728
Josh Lowe LHB,Batting Seventh ​,="16-83",.193,.349,0.156,4,1,0,8,29.3,6,.253,.602
Oswald Peraza RHB,Batting Seventh ​,="15-73",.205,.356,0.151,3,2,0,7,31.6,4,.266,.622
Denzer Guzman RHB,Batting Seventh ​,="7-34",.206,.206,0.000,0,0,0,4,21.6,2,.250,.456
Travis d'Arnaud RHB,Batting Eighth ​,="6-28",.214,.357,0.143,1,1,0,3,18.8,2,.313,.670
Jose Siri RHB,Batting Eighth ​,="9-36",.250,.333,0.083,0,3,0,5,22.0,3,.300,.633
Tyler Heineman SHB,Batting Ninth ​,="15-93",.161,.226,0.065,1,1,1,5,18.9,5,.220,.446
