Matchup,MIL @ NYM
Pitcher,Sean Manaea
Pitcher Team,NYM
Opposing Team,MIL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,15.1,1.17,="16-59",.271,.559,0.288,4,3,1,7,25.4,2,.317,.876
Batting Second,13.1,1.58,="15-54",.278,.593,0.315,4,3,1,6,19.7,6,.361,.954
Batting Third,13.2,1.17,="10-51",.196,.490,0.294,4,3,0,12,20.3,6,.305,.795
Batting Fourth,13.1,1.28,="15-54",.278,.444,0.166,2,3,0,7,24.1,2,.316,.760
Batting Fifth,14.0,1.21,="12-51",.235,.333,0.098,1,2,0,5,27.6,5,.328,.661
Batting Sixth,13.0,1.46,="15-50",.300,.540,0.240,1,5,2,7,24.6,4,.357,.897
Batting Seventh,12.1,1.05,="9-47",.191,.319,0.128,1,3,0,4,25.0,4,.269,.588
Batting Eighth,10.0,1.80,="11-41",.268,.293,0.025,0,1,0,4,18.4,7,.388,.681
Batting Ninth,11.1,1.24,="11-41",.268,.512,0.244,2,2,1,11,22.4,3,.327,.839

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Christian Yelich LHB,Batting First ​,="43-183",.235,.350,0.115,2,13,1,21,26.5,23,.327,.677
Jackson Chourio RHB,Batting Second ​,="72-251",.287,.474,0.187,12,11,0,38,23.0,24,.353,.827
Brice Turang LHB,Batting Third ​,="55-199",.276,.508,0.232,10,12,2,39,26.2,28,.364,.872
Gary Sanchez RHB,Batting Fourth ​,="14-66",.212,.394,0.182,2,4,1,10,27.2,13,.346,.740
William Contreras RHB,Batting Fourth ​,="45-206",.218,.350,0.132,6,9,0,25,17.2,19,.284,.634
Jake Bauers LHB,Batting Fifth ​,="63-207",.304,.609,0.305,17,10,1,50,23.1,46,.435,1.044
Garrett Mitchell LHB,Batting Sixth ​,="36-109",.330,.569,0.239,4,10,2,17,31.0,16,.421,.990
Andrew Vaughn RHB,Batting Sixth ​,="26-83",.313,.518,0.205,4,5,0,19,19.4,9,.387,.905
Sal Frelick LHB,Batting Seventh ​,="37-151",.245,.338,0.093,2,8,0,20,7.6,15,.317,.655
Luis Lara SHB,Batting Seventh ​,="12-44",.273,.386,0.113,0,5,0,6,17.6,6,.353,.739
Cooper Pratt RHB,Batting Eighth ​,="29-116",.250,.345,0.095,2,3,1,13,20.1,15,.336,.681
David Hamilton LHB,Batting Ninth ​,="42-176",.239,.364,0.125,4,6,2,16,24.3,18,.313,.677
Joey Ortiz RHB,Batting Ninth ​,="47-190",.247,.389,0.142,5,8,2,24,17.3,18,.308,.697
