Matchup,MIL @ PHI
Pitcher,Aaron Nola
Pitcher Team,PHI
Opposing Team,MIL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,21.1,1.45,="26-88",.295,.364,0.069,1,3,0,6,21.5,5,.333,.697
Batting Second,20.1,1.62,="22-78",.282,.577,0.295,6,3,1,11,16.5,11,.363,.940
Batting Third,19.2,1.73,="27-82",.329,.634,0.305,6,7,0,12,22.2,7,.378,1.012
Batting Fourth,19.0,1.58,="23-79",.291,.494,0.203,4,4,0,13,21.8,7,.356,.850
Batting Fifth,18.2,1.34,="18-72",.250,.403,0.153,3,2,0,7,22.2,7,.325,.728
Batting Sixth,19.2,0.76,="12-68",.176,.338,0.162,3,2,0,8,27.8,3,.208,.546
Batting Seventh,18.0,0.94,="11-63",.175,.413,0.238,3,2,2,4,36.2,6,.246,.659
Batting Eighth,16.2,0.96,="10-59",.169,.356,0.187,3,2,0,8,24.2,6,.242,.598
Batting Ninth,13.0,2.00,="20-58",.345,.655,0.310,5,3,0,11,24.6,6,.406,1.061

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Christian Yelich LHB,Batting First ​,="43-183",.235,.350,0.115,2,13,1,21,26.5,23,.327,.677
Jackson Chourio RHB,Batting Second ​,="76-281",.270,.452,0.182,13,12,0,40,23.6,25,.333,.785
Brice Turang LHB,Batting Third ​,="58-207",.280,.502,0.222,10,12,2,39,26.0,33,.378,.880
Gary Sanchez RHB,Batting Fourth ​,="14-71",.197,.366,0.169,2,4,1,10,27.9,13,.326,.692
William Contreras RHB,Batting Fourth ​,="56-237",.236,.371,0.135,7,11,0,33,17.5,22,.299,.670
Andrew Vaughn RHB,Batting Fourth ​,="26-88",.295,.375,0.080,0,3,2,7,14.7,11,.382,.757
Jake Bauers LHB,Batting Fifth ​,="68-228",.298,.601,0.303,19,10,1,53,24.5,47,.422,1.023
Garrett Mitchell LHB,Batting Sixth ​,="41-116",.353,.612,0.259,5,11,2,21,30.1,16,.436,1.048
Sal Frelick LHB,Batting Seventh ​,="39-170",.229,.312,0.083,2,8,0,21,9.3,16,.298,.610
Luis Lara SHB,Batting Seventh ​,="18-67",.269,.358,0.089,0,6,0,11,21.3,6,.320,.678
Bo Naylor LHB,Batting Eighth ​,="10-56",.179,.375,0.196,3,2,0,10,25.0,4,.233,.608
Cooper Pratt RHB,Batting Eighth ​,="34-133",.256,.361,0.105,2,4,2,20,20.0,16,.335,.696
David Hamilton LHB,Batting Ninth ​,="54-218",.248,.362,0.114,4,7,3,19,24.5,19,.311,.673
Joey Ortiz RHB,Batting Ninth ​,="54-202",.267,.406,0.139,5,9,2,24,16.8,18,.323,.729
