Matchup,MIL @ PIT
Pitcher,Jared Jones
Pitcher Team,PIT
Opposing Team,MIL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,13.0,0.92,="8-46",.174,.413,0.239,2,3,1,4,38.0,4,.240,.653
Batting Second,10.2,1.31,="8-42",.190,.357,0.167,2,1,0,4,22.4,6,.306,.663
Batting Third,11.1,0.97,="10-43",.233,.419,0.186,2,2,0,4,36.4,1,.250,.669
Batting Fourth,8.2,1.38,="9-35",.257,.286,0.029,0,1,0,1,28.9,3,.316,.602
Batting Fifth,8.0,1.88,="12-34",.353,.735,0.382,3,4,0,8,28.9,3,.395,1.130
Batting Sixth,10.1,0.58,="4-34",.118,.265,0.147,1,0,1,3,18.9,2,.162,.427
Batting Seventh,8.1,1.20,="6-31",.194,.258,0.064,0,2,0,3,28.6,4,.286,.544
Batting Eighth,8.0,1.13,="6-30",.200,.300,0.100,0,3,0,1,21.2,3,.273,.573
Batting Ninth,7.0,1.57,="7-27",.259,.519,0.260,2,1,0,8,24.2,4,.375,.894

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Christian Yelich LHB,Batting First ​,="43-183",.235,.350,0.115,2,13,1,21,26.5,23,.327,.677
Jackson Chourio RHB,Batting Second ​,="75-273",.275,.462,0.187,13,12,0,40,23.3,24,.337,.799
Brice Turang LHB,Batting Third ​,="57-203",.281,.507,0.226,10,12,2,39,25.6,33,.380,.887
Gary Sanchez RHB,Batting Fourth ​,="14-71",.197,.366,0.169,2,4,1,10,27.9,13,.326,.692
William Contreras RHB,Batting Fourth ​,="54-229",.236,.376,0.140,7,11,0,30,17.0,22,.301,.677
Jake Bauers LHB,Batting Fifth ​,="67-224",.299,.607,0.308,19,10,1,53,23.8,47,.425,1.032
Garrett Mitchell LHB,Batting Sixth ​,="41-116",.353,.612,0.259,5,11,2,21,30.1,16,.436,1.048
Andrew Vaughn RHB,Batting Sixth ​,="26-83",.313,.518,0.205,4,5,0,19,19.4,9,.387,.905
Sal Frelick LHB,Batting Seventh ​,="37-167",.222,.305,0.083,2,8,0,20,9.5,16,.293,.598
Luis Lara SHB,Batting Seventh ​,="16-59",.271,.373,0.102,0,6,0,10,20.9,6,.328,.701
Bo Naylor LHB,Batting Eighth ​,="9-53",.170,.321,0.151,2,2,0,8,25.0,3,.214,.535
Cooper Pratt RHB,Batting Eighth ​,="34-129",.264,.372,0.108,2,4,2,20,19.9,16,.344,.716
David Hamilton LHB,Batting Ninth ​,="52-209",.249,.368,0.119,4,7,3,18,24.2,19,.314,.682
Joey Ortiz RHB,Batting Ninth ​,="54-202",.267,.406,0.139,5,9,2,24,16.8,18,.323,.729
