Matchup,MIN @ CHC
Pitcher,Bailey Ober
Pitcher Team,MIN
Opposing Team,CHC

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,8.1,1.56,="10-34",.294,.471,0.177,1,3,0,1,21.1,3,.368,.839
Batting Second,10.2,0.47,="5-37",.135,.162,0.027,0,1,0,1,16.2,0,.135,.297
Batting Third,8.1,1.44,="9-33",.273,.455,0.182,1,3,0,2,8.3,3,.333,.788
Batting Fourth,7.2,1.70,="11-33",.333,.606,0.273,2,3,0,8,11.1,2,.389,.995
Batting Fifth,7.1,1.64,="9-31",.290,.774,0.484,4,3,0,10,20.6,3,.353,1.127
Batting Sixth,6.1,1.89,="11-31",.355,.613,0.258,2,2,0,7,18.8,1,.375,.988
Batting Seventh,8.0,0.75,="4-27",.148,.333,0.185,1,2,0,2,16.7,2,.207,.540
Batting Eighth,7.1,1.09,="5-27",.185,.444,0.259,2,1,0,5,20.0,3,.267,.711
Batting Ninth,7.2,0.52,="2-24",.083,.083,0.000,0,0,0,0,22.2,2,.154,.237

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Nico Hoerner RHB,Batting First ​,="51-196",.260,.383,0.123,4,12,0,28,6.3,23,.341,.724
Justin Dean RHB,Batting First ​,="1-3",.333,1.000,0.667,0,0,1,3,33.3,0,.333,1.333
Pete Crow-Armstrong LHB,Batting First ​,="57-159",.358,.711,0.353,14,10,2,29,26.7,29,.467,1.178
Alex Bregman RHB,Batting Second ​,="34-159",.214,.327,0.113,4,4,1,16,13.4,24,.326,.653
Michael Busch LHB,Batting Third ​,="27-121",.223,.388,0.165,6,2,0,19,22.5,24,.364,.752
Ian Happ SHB,Batting Fourth ​,="26-125",.208,.360,0.152,4,5,1,10,32.3,27,.355,.715
Seiya Suzuki RHB,Batting Fifth ​,="26-104",.250,.452,0.202,5,6,0,16,26.9,13,.336,.788
Carson Kelly RHB,Batting Seventh ​,="17-66",.258,.348,0.090,1,3,0,12,16.9,10,.364,.712
Michael Conforto LHB,Batting Seventh ​,="10-41",.244,.537,0.293,4,0,0,8,28.3,5,.326,.863
Miguel Amaya RHB,Batting Eighth ​,="9-59",.153,.220,0.067,0,4,0,4,27.5,6,.265,.485
Pedro Ramirez SHB,Batting Eighth ​,="4-22",.182,.227,0.045,0,1,0,2,8.3,2,.250,.477
Dansby Swanson RHB,Batting Ninth ​,="38-185",.205,.427,0.222,10,7,2,39,22.9,21,.287,.714
Kevin Alcantara RHB,Batting Ninth ​,="2-6",.333,.333,0.000,0,0,0,2,33.3,0,.333,.666
