Matchup,MIN @ NYY
Pitcher,Mike Paredes
Pitcher Team,MIN
Opposing Team,NYY

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,2.1,2.14,="4-11",.364,.909,0.545,1,1,1,4,0.0,1,.462,1.371
Batting Second,4.0,0.50,="2-13",.154,.231,0.077,0,1,0,2,15.4,0,.154,.385
Batting Third,2.1,1.71,="3-11",.273,.818,0.545,2,0,0,2,15.4,1,.385,1.203
Batting Fourth,3.0,1.33,="4-13",.308,.385,0.077,0,1,0,0,15.4,0,.308,.693
Batting Fifth,3.2,0.55,="1-12",.083,.083,0.000,0,0,0,0,23.1,1,.154,.237
Batting Sixth,2.0,3.50,="3-8",.375,.500,0.125,0,1,0,1,0.0,4,.583,1.083
Batting Seventh,3.0,0.67,="1-9",.111,.444,0.333,1,0,0,2,0.0,1,.182,.626
Batting Eighth,3.0,0.33,="1-9",.111,.111,0.000,0,0,0,0,18.2,0,.111,.222
Batting Ninth,2.0,2.50,="4-10",.400,.400,0.000,0,0,0,2,18.2,1,.455,.855

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Paul Goldschmidt RHB,Batting First ​,="26-82",.317,.610,0.293,6,4,1,15,17.0,11,.404,1.014
Trent Grisham LHB,Batting First ​,="32-169",.189,.314,0.125,4,7,1,17,14.9,31,.312,.626
Ben Rice LHB,Batting Second ​,="42-154",.273,.545,0.272,10,8,2,26,21.2,15,.335,.880
Cody Bellinger LHB,Batting Fourth ​,="36-148",.243,.432,0.189,6,10,0,23,15.4,25,.349,.781
Jasson Dominguez SHB,Batting Fourth ​,="4-23",.174,.217,0.043,0,1,0,2,20.0,2,.240,.457
Jazz Chisholm Jr. LHB,Batting Fifth ​,="28-127",.220,.409,0.189,6,6,0,14,24.0,17,.308,.717
Amed Rosario RHB,Batting Sixth ​,="10-31",.323,.581,0.258,2,2,0,5,21.2,2,.364,.945
Spencer Jones LHB,Batting Sixth ​,="9-32",.281,.438,0.157,1,2,0,3,40.5,5,.378,.816
Ryan McMahon LHB,Batting Eighth ​,="21-80",.263,.438,0.175,4,2,0,11,26.2,4,.298,.736
Jose Caballero RHB,Batting Eighth ​,="20-82",.244,.378,0.134,2,5,0,8,23.6,5,.295,.673
Max Schuemann RHB,Batting Eighth ​,="5-17",.294,.471,0.177,0,3,0,3,18.2,4,.455,.926
Anthony Volpe RHB,Batting Eighth ​,="10-40",.250,.450,0.200,1,3,1,9,18.0,10,.400,.850
Ali Sanchez RHB,Batting Ninth ​,="6-23",.261,.348,0.087,0,2,0,3,32.0,1,.320,.668
Oswaldo Cabrera SHB,Batting Ninth ​,="0-3",.000,.000,0.000,0,0,0,0,25.0,0,.000,.000
Austin Wells LHB,Batting Ninth ​,="11-88",.125,.159,0.034,1,0,0,3,28.1,8,.198,.357
