Matchup,MIN @ SEA
Pitcher,George Kirby
Pitcher Team,SEA
Opposing Team,MIN

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,16.1,1.04,="12-58",.207,.397,0.190,3,2,0,5,15.9,5,.270,.667
Batting Second,13.2,1.68,="21-59",.356,.508,0.152,2,3,0,6,16.1,2,.387,.895
Batting Third,13.1,1.80,="19-55",.345,.691,0.346,5,2,1,9,13.3,5,.400,1.091
Batting Fourth,15.2,0.89,="12-56",.214,.357,0.143,1,5,0,5,29.3,2,.241,.598
Batting Fifth,12.0,1.75,="18-52",.346,.500,0.154,1,5,0,8,26.8,3,.375,.875
Batting Sixth,13.2,1.24,="14-51",.275,.490,0.215,2,3,1,9,24.1,3,.315,.805
Batting Seventh,12.1,1.05,="10-47",.213,.298,0.085,1,1,0,4,34.0,3,.260,.558
Batting Eighth,11.0,1.45,="15-47",.319,.404,0.085,0,4,0,5,14.6,1,.333,.737
Batting Ninth,11.2,0.94,="10-43",.233,.256,0.023,0,1,0,0,21.7,1,.283,.539

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Trevor Larnach LHB,Batting First ​,="39-119",.328,.555,0.227,6,9,0,21,12.1,12,.389,.944
Austin Martin RHB,Batting First ​,="19-87",.218,.287,0.069,0,6,0,9,18.0,19,.369,.656
Brooks Lee SHB,Batting Second ​,="24-139",.173,.324,0.151,6,3,0,20,18.5,10,.232,.556
Kody Clemens LHB,Batting Third ​,="33-154",.214,.474,0.260,11,7,0,28,22.9,10,.259,.733
Josh Bell SHB,Batting Fourth ​,="44-217",.203,.355,0.152,6,13,1,25,25.0,17,.263,.618
Ryan Jeffers RHB,Batting Fourth ​,="17-60",.283,.517,0.234,3,3,1,14,14.5,9,.377,.894
Royce Lewis RHB,Batting Fifth ​,="21-87",.241,.506,0.265,6,5,0,11,20.4,10,.316,.822
Victor Caratini SHB,Batting Sixth ​,="24-130",.185,.346,0.161,5,6,0,16,21.7,12,.283,.629
Luke Keaschall RHB,Batting Sixth ​,="11-74",.149,.203,0.054,1,1,0,6,21.7,5,.220,.423
Alan Roden LHB,Batting Seventh ​,="3-20",.150,.150,0.000,0,0,0,3,22.7,2,.227,.377
Tristan Gray LHB,Batting Eighth ​,="18-87",.207,.230,0.023,0,2,0,6,24.2,3,.231,.461
Alex Jackson RHB,Batting Ninth ​,="17-55",.309,.436,0.127,1,4,0,5,27.6,1,.345,.781
Ryan Kreidler RHB,Batting Ninth ​,="16-77",.208,.390,0.182,2,4,2,13,19.3,6,.265,.655
