Matchup,NYM @ MIA
Pitcher,Eury Perez
Pitcher Team,MIA
Opposing Team,NYM

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,21.1,0.61,="7-67",.104,.194,0.090,2,0,0,6,34.2,6,.178,.372
Batting Second,14.1,1.81,="16-59",.271,.508,0.237,4,2,0,8,25.0,10,.403,.911
Batting Third,17.2,0.96,="11-62",.177,.339,0.162,2,4,0,5,26.1,6,.261,.600
Batting Fourth,16.1,1.16,="13-60",.217,.500,0.283,5,2,0,13,25.8,6,.288,.788
Batting Fifth,16.0,0.94,="12-59",.203,.424,0.221,3,4,0,8,20.6,3,.254,.678
Batting Sixth,11.2,2.06,="17-52",.327,.442,0.115,0,6,0,1,19.7,7,.426,.868
Batting Seventh,12.1,1.38,="10-43",.233,.302,0.069,0,3,0,5,21.2,7,.327,.629
Batting Eighth,13.2,0.95,="8-46",.174,.283,0.109,1,2,0,3,31.4,5,.255,.538
Batting Ninth,11.1,1.41,="7-39",.179,.282,0.103,0,2,1,5,30.6,9,.347,.629

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Francisco Lindor SHB,Batting First ​,="29-145",.200,.372,0.172,6,3,2,11,19.1,15,.284,.656
Carson Benge LHB,Batting First ​,="59-210",.281,.429,0.148,7,6,2,23,21.6,13,.335,.764
A.J. Ewing LHB,Batting First ​,="35-166",.211,.301,0.090,2,9,0,8,26.2,14,.273,.574
Juan Soto LHB,Batting Second ​,="43-166",.259,.464,0.205,9,5,1,26,14.0,40,.401,.865
Bo Bichette RHB,Batting Third ​,="68-245",.278,.416,0.138,7,11,1,31,18.0,18,.322,.738
Mark Vientos RHB,Batting Fourth ​,="24-119",.202,.403,0.201,6,6,0,19,20.2,4,.234,.637
Jared Young LHB,Batting Fifth ​,="32-96",.333,.458,0.125,0,8,2,13,20.4,5,.369,.827
Marcus Semien RHB,Batting Sixth ​,="30-152",.197,.349,0.152,6,3,1,19,20.6,10,.248,.597
Christopher Morel RHB,Batting Sixth ​,="7-24",.292,.292,0.000,0,0,0,1,37.0,3,.370,.662
Nick Morabito RHB,Batting Seventh ​,="0-9",.000,.000,0.000,0,0,0,0,50.0,0,.100,.100
Brett Baty LHB,Batting Eighth ​,="24-111",.216,.360,0.144,3,7,0,12,26.7,7,.258,.618
Luis Torrens RHB,Batting Ninth ​,="43-188",.229,.378,0.149,6,10,0,24,19.1,15,.300,.678
Cristian Pache RHB,Batting Ninth ​,="0-2",.000,.000,0.000,0,0,0,0,50.0,0,.000,.000
Francisco Alvarez RHB,Batting Ninth ​,="35-120",.292,.550,0.258,8,7,0,19,30.0,17,.388,.938
