Matchup,NYM @ MIA
Pitcher,Robert Stock
Pitcher Team,NYM
Opposing Team,MIA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,2.2,3.38,="6-14",.429,.643,0.214,0,3,0,4,23.5,3,.529,1.172
Batting Second,4.0,0.75,="2-15",.133,.133,0.000,0,0,0,1,43.8,1,.188,.321
Batting Third,2.1,3.86,="6-13",.462,.769,0.307,1,1,0,4,17.6,3,.588,1.357
Batting Fourth,3.1,1.20,="2-12",.167,.167,0.000,0,0,0,0,6.7,2,.333,.500
Batting Fifth,4.1,0.23,="1-14",.071,.143,0.072,0,1,0,3,14.3,0,.071,.214
Batting Sixth,2.0,3.00,="4-10",.400,.500,0.100,0,1,0,2,16.7,2,.500,1.000
Batting Seventh,2.0,3.00,="4-10",.400,.700,0.300,1,0,0,1,41.7,2,.500,1.200
Batting Eighth,2.1,1.71,="4-11",.364,.455,0.091,0,1,0,2,8.3,0,.417,.872
Batting Ninth,3.0,1.33,="4-12",.333,.333,0.000,0,0,0,0,0.0,0,.333,.666

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jakob Marsee LHB,Batting First ​,="28-146",.192,.295,0.103,2,3,3,11,20.9,25,.316,.611
Kyle Stowers LHB,Batting Third ​,="24-110",.218,.436,0.218,5,5,2,21,31.3,14,.315,.751
Otto Lopez RHB,Batting Third ​,="50-184",.272,.380,0.108,3,9,1,19,15.3,6,.301,.681
Agustin Ramirez RHB,Batting Third ​,="21-72",.292,.389,0.097,1,4,0,11,19.5,3,.325,.714
Heriberto Hernandez RHB,Batting Fifth ​,="24-103",.233,.417,0.184,5,2,1,16,25.2,8,.288,.705
Griffin Conine LHB,Batting Sixth ​,="11-39",.282,.641,0.359,4,2,0,8,22.2,6,.378,1.019
Owen Caissie LHB,Batting Sixth ​,="21-112",.188,.339,0.151,4,5,0,22,35.2,10,.266,.605
Graham Pauley LHB,Batting Eighth ​,="17-61",.279,.541,0.262,3,5,1,15,17.4,6,.348,.889
Deyvison De Los Santos RHB,Batting Eighth ​,="1-5",.200,.400,0.200,0,1,0,0,40.0,0,.200,.600
Joe Mack LHB,Batting Eighth ​,="23-121",.190,.347,0.157,5,4,0,17,22.7,9,.252,.599
Jared Serna RHB,Batting Eighth ​,="3-7",.429,.714,0.285,0,2,0,2,11.1,1,.444,1.158
Brian Navarreto RHB,Batting Ninth ​,="6-38",.158,.289,0.131,1,2,0,3,33.3,2,.214,.503
Esteury Ruiz RHB,Batting Ninth ​,="11-53",.208,.396,0.188,2,4,0,2,31.3,6,.333,.729
Javier Sanoja RHB,Batting Ninth ​,="51-158",.323,.462,0.139,3,13,0,19,7.8,8,.355,.817
