Matchup,NYM @ MIL
Pitcher,Jacob Misiorowski
Pitcher Team,MIL
Opposing Team,NYM

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,13.2,0.88,="7-48",.146,.271,0.125,2,0,0,3,42.6,5,.241,.512
Batting Second,13.2,0.73,="8-50",.160,.340,0.180,3,0,0,4,46.3,2,.222,.562
Batting Third,13.1,0.75,="4-45",.089,.111,0.022,0,1,0,0,25.0,6,.212,.323
Batting Fourth,12.1,0.89,="8-45",.178,.333,0.155,2,1,0,3,48.0,3,.260,.593
Batting Fifth,13.0,0.69,="8-46",.174,.217,0.043,0,2,0,2,31.9,1,.191,.408
Batting Sixth,12.1,0.81,="6-40",.150,.150,0.000,0,0,0,4,28.9,4,.222,.372
Batting Seventh,11.1,0.71,="6-41",.146,.146,0.000,0,0,0,0,46.5,2,.186,.332
Batting Eighth,9.1,1.07,="8-36",.222,.417,0.195,2,1,0,6,46.2,2,.282,.699
Batting Ninth,12.0,0.33,="2-34",.059,.059,0.000,0,0,0,0,42.1,2,.135,.194

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Francisco Lindor SHB,Batting First ​,="17-88",.193,.284,0.091,1,1,2,2,19.8,11,.297,.581
Carson Benge LHB,Batting First ​,="59-210",.281,.429,0.148,7,6,2,23,21.6,13,.335,.764
Bo Bichette RHB,Batting Second ​,="55-217",.253,.387,0.134,7,6,1,30,17.8,15,.305,.692
Jorge Polanco SHB,Batting Third ​,="5-26",.192,.346,0.154,1,1,0,1,23.1,0,.192,.538
Juan Soto LHB,Batting Third ​,="43-133",.323,.639,0.316,13,3,0,28,11.5,23,.423,1.062
Luis Robert RHB,Batting Fourth ​,="11-37",.297,.378,0.081,0,3,0,2,9.5,5,.381,.759
Eric Wagaman RHB,Batting Fourth ​,="1-9",.111,.111,0.000,0,0,0,0,30.0,1,.200,.311
Jared Young LHB,Batting Fourth ​,="17-73",.233,.507,0.274,6,2,0,13,21.0,7,.309,.816
A.J. Ewing LHB,Batting Fifth ​,="15-60",.250,.367,0.117,1,4,0,7,25.0,3,.281,.648
Marcus Semien RHB,Batting Sixth ​,="18-104",.173,.288,0.115,3,1,1,10,23.9,4,.202,.490
Brett Baty LHB,Batting Eighth ​,="18-82",.220,.354,0.134,2,5,0,8,18.9,6,.267,.621
Luis Torrens RHB,Batting Ninth ​,="31-136",.228,.338,0.110,2,9,0,15,21.2,10,.300,.638
Tyrone Taylor RHB,Batting Ninth ​,="7-32",.219,.281,0.062,0,2,0,2,8.8,1,.242,.523
Francisco Alvarez RHB,Batting Ninth ​,="20-58",.345,.707,0.362,6,3,0,10,20.6,8,.433,1.140
