Matchup,NYY @ BAL
Pitcher,Kyle Bradish
Pitcher Team,BAL
Opposing Team,NYY

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,16.2,1.56,="16-65",.246,.385,0.139,2,1,1,6,24.0,10,.347,.732
Batting Second,14.1,1.95,="20-61",.328,.459,0.131,1,5,0,6,17.1,8,.414,.873
Batting Third,19.1,0.72,="8-63",.127,.222,0.095,1,3,0,1,33.3,6,.203,.425
Batting Fourth,13.0,1.62,="12-52",.231,.423,0.192,2,4,0,5,24.2,9,.355,.778
Batting Fifth,14.1,1.40,="15-54",.278,.519,0.241,3,2,1,10,16.4,5,.328,.847
Batting Sixth,13.0,1.54,="12-49",.245,.367,0.122,1,1,1,5,22.4,8,.345,.712
Batting Seventh,13.2,1.32,="14-52",.269,.385,0.116,1,1,1,7,15.8,4,.316,.701
Batting Eighth,12.0,1.83,="17-50",.340,.480,0.140,1,4,0,6,18.2,5,.400,.880
Batting Ninth,14.2,0.82,="9-50",.180,.280,0.100,1,2,0,6,25.5,3,.236,.516

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Paul Goldschmidt RHB,Batting First ​,="29-106",.274,.528,0.254,7,4,1,16,21.3,15,.369,.897
Trent Grisham LHB,Batting First ​,="58-279",.208,.394,0.186,12,14,1,34,16.4,41,.307,.701
Luis Garcia Jr. LHB,Batting Second ​,="84-280",.300,.607,0.307,20,16,5,66,17.5,11,.325,.932
Ben Rice LHB,Batting Second ​,="69-290",.238,.490,0.252,18,13,3,45,25.1,34,.321,.811
Amed Rosario RHB,Batting Third ​,="10-43",.233,.326,0.093,1,1,0,1,32.6,0,.233,.559
Heliot Ramos RHB,Batting Third ​,="16-81",.198,.222,0.024,0,2,0,5,26.9,11,.301,.523
Jazz Chisholm Jr. LHB,Batting Sixth ​,="35-168",.208,.351,0.143,5,7,1,18,32.3,16,.280,.631
Spencer Jones LHB,Batting Sixth ​,="10-43",.233,.349,0.116,1,2,0,3,40.0,7,.340,.689
George Lombard Jr. RHB,Batting Seventh ​,="4-14",.286,.286,0.000,0,0,0,1,18.8,2,.375,.661
Ryan McMahon LHB,Batting Eighth ​,="28-119",.235,.395,0.160,4,7,0,16,28.7,8,.287,.682
Jose Caballero RHB,Batting Eighth ​,="29-115",.252,.409,0.157,4,6,0,12,27.4,7,.301,.710
Ali Sanchez RHB,Batting Ninth ​,="13-49",.265,.367,0.102,1,2,0,7,24.5,1,.302,.669
Austin Wells LHB,Batting Ninth ​,="24-150",.160,.280,0.120,5,3,0,9,26.1,12,.232,.512
