Matchup,NYY @ DET
Pitcher,Casey Mize
Pitcher Team,DET
Opposing Team,NYY

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,7.1,0.95,="5-26",.192,.462,0.270,1,4,0,3,32.1,2,.250,.712
Batting Second,6.0,1.33,="6-24",.250,.292,0.042,0,1,0,3,22.2,2,.333,.625
Batting Third,7.2,0.78,="4-24",.167,.333,0.166,1,1,0,2,19.2,2,.231,.564
Batting Fourth,7.2,0.52,="3-24",.125,.167,0.042,0,1,0,0,32.0,1,.160,.327
Batting Fifth,5.1,1.13,="5-22",.227,.364,0.137,0,3,0,1,20.8,1,.250,.614
Batting Sixth,4.2,1.50,="6-20",.300,.500,0.200,1,1,0,2,38.1,1,.333,.833
Batting Seventh,4.2,1.07,="3-16",.188,.250,0.062,0,1,0,2,31.6,2,.263,.513
Batting Eighth,5.0,0.60,="2-17",.118,.176,0.058,0,1,0,0,22.2,1,.167,.343
Batting Ninth,3.2,1.91,="6-17",.353,.588,0.235,0,4,0,0,5.6,1,.389,.977

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Paul Goldschmidt RHB,Batting First ​,="22-63",.349,.619,0.270,4,3,1,12,15.1,9,.438,1.057
Ben Rice LHB,Batting Second ​,="40-136",.294,.603,0.309,10,8,2,26,22.4,15,.362,.965
Cody Bellinger LHB,Batting Third ​,="37-135",.274,.474,0.200,5,6,3,22,12.6,21,.365,.839
Jazz Chisholm Jr. LHB,Batting Fifth ​,="24-118",.203,.373,0.170,5,5,0,12,23.4,17,.299,.672
Amed Rosario RHB,Batting Sixth ​,="8-28",.286,.571,0.285,2,2,0,4,24.1,1,.310,.881
Spencer Jones LHB,Batting Sixth ​,="8-28",.286,.464,0.178,1,2,0,3,36.4,5,.394,.858
Jasson Dominguez SHB,Batting Sixth ​,="5-18",.278,.556,0.278,1,2,0,3,15.8,0,.316,.872
Ryan McMahon LHB,Batting Eighth ​,="21-80",.263,.438,0.175,4,2,0,11,26.2,4,.298,.736
Jose Caballero RHB,Batting Eighth ​,="17-75",.227,.333,0.106,1,5,0,7,24.7,5,.284,.617
Max Schuemann RHB,Batting Eighth ​,="5-15",.333,.533,0.200,0,3,0,3,21.1,4,.474,1.007
Anthony Volpe RHB,Batting Eighth ​,="10-37",.270,.486,0.216,1,3,1,9,19.1,10,.426,.912
Ali Sanchez RHB,Batting Ninth ​,="6-18",.333,.444,0.111,0,2,0,3,35.0,1,.400,.844
Austin Wells LHB,Batting Ninth ​,="10-81",.123,.160,0.037,1,0,0,2,28.1,8,.202,.362
