Matchup,NYY @ PHI
Pitcher,Will Warren
Pitcher Team,NYY
Opposing Team,PHI

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,13.0,1.46,="14-53",.264,.491,0.227,3,3,0,5,27.6,5,.328,.819
Batting Second,12.1,1.46,="16-51",.314,.471,0.157,1,5,0,5,20.0,2,.333,.804
Batting Third,12.2,1.26,="14-50",.280,.440,0.160,1,3,1,5,14.8,2,.302,.742
Batting Fourth,10.0,2.20,="13-41",.317,.610,0.293,3,3,0,7,23.5,9,.431,1.041
Batting Fifth,11.2,1.11,="13-47",.277,.511,0.234,3,2,0,10,25.5,0,.277,.788
Batting Sixth,10.1,1.35,="10-40",.250,.475,0.225,2,3,0,7,22.2,4,.333,.808
Batting Seventh,10.0,1.10,="8-37",.216,.243,0.027,0,1,0,0,33.3,3,.293,.536
Batting Eighth,9.2,1.34,="9-35",.257,.314,0.057,0,2,0,7,19.5,4,.317,.631
Batting Ninth,8.2,1.15,="5-34",.147,.294,0.147,1,2,0,4,15.0,5,.275,.569

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Trea Turner RHB,Batting First ​,="85-339",.251,.401,0.150,12,15,0,35,22.3,24,.302,.703
Kyle Schwarber LHB,Batting Second ​,="75-298",.252,.601,0.349,30,12,1,56,33.9,47,.362,.963
Bryce Harper LHB,Batting Third ​,="92-352",.261,.503,0.242,21,18,2,61,21.0,59,.363,.866
Alec Bohm RHB,Batting Fourth ​,="38-166",.229,.367,0.138,5,8,0,25,12.4,11,.281,.648
Brandon Marsh LHB,Batting Fourth ​,="32-131",.244,.397,0.153,6,2,0,15,31.7,6,.288,.685
Edmundo Sosa RHB,Batting Fifth ​,="12-54",.222,.241,0.019,0,1,0,9,19.7,3,.267,.508
Bryan De La Cruz RHB,Batting Sixth ​,="2-3",.667,.667,0.000,0,0,0,0,33.3,0,.667,1.334
Bryson Stott LHB,Batting Sixth ​,="40-151",.265,.397,0.132,3,5,3,17,19.5,12,.317,.714
J.T. Realmuto RHB,Batting Seventh ​,="23-100",.230,.370,0.140,3,5,0,10,23.9,8,.319,.689
Gabriel Rincones Jr. LHB,Batting Seventh ​,="5-39",.128,.231,0.103,1,1,0,4,24.4,0,.146,.377
Derek Hill RHB,Batting Eighth ​,="14-48",.292,.625,0.333,5,1,0,7,31.5,5,.358,.983
Justin Crawford LHB,Batting Ninth ​,="44-171",.257,.345,0.088,1,10,1,12,23.0,13,.312,.657
