Matchup,PHI @ BAL
Pitcher,Brandon Young
Pitcher Team,BAL
Opposing Team,PHI

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,10.2,1.78,="12-43",.279,.326,0.047,0,2,0,1,15.7,7,.380,.706
Batting Second,11.0,1.45,="12-45",.267,.556,0.289,3,4,0,6,16.3,4,.327,.883
Batting Third,11.1,1.24,="11-45",.244,.356,0.112,1,2,0,4,12.2,3,.286,.642
Batting Fourth,13.1,0.83,="6-44",.136,.182,0.046,0,2,0,2,24.5,5,.224,.406
Batting Fifth,11.0,1.27,="11-42",.262,.381,0.119,1,2,0,9,25.5,3,.304,.685
Batting Sixth,10.2,1.41,="10-41",.244,.366,0.122,1,2,0,4,14.9,5,.319,.685
Batting Seventh,9.2,1.86,="15-43",.349,.488,0.139,1,3,0,9,21.7,3,.391,.879
Batting Eighth,9.2,1.14,="9-36",.250,.333,0.083,0,1,1,2,17.9,2,.282,.615
Batting Ninth,10.1,0.77,="6-35",.171,.371,0.200,2,1,0,3,26.3,2,.237,.608

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Trea Turner RHB,Batting First ​,="90-358",.251,.408,0.157,13,15,1,37,22.3,24,.301,.709
Kyle Schwarber LHB,Batting Second ​,="77-304",.253,.595,0.342,30,12,1,57,33.5,50,.366,.961
Bryce Harper LHB,Batting Third ​,="96-367",.262,.510,0.248,22,19,3,64,21.1,62,.364,.874
Alec Bohm RHB,Batting Fourth ​,="40-173",.231,.364,0.133,5,8,0,26,12.4,12,.285,.649
Brandon Marsh LHB,Batting Fourth ​,="33-139",.237,.381,0.144,6,2,0,15,31.5,8,.289,.670
Edmundo Sosa RHB,Batting Fifth ​,="12-54",.222,.241,0.019,0,1,0,9,19.7,3,.267,.508
Bryson Stott LHB,Batting Sixth ​,="45-158",.285,.449,0.164,4,6,4,22,19.8,13,.337,.786
J.T. Realmuto RHB,Batting Seventh ​,="24-106",.226,.368,0.142,3,6,0,12,24.0,8,.314,.682
Gabriel Rincones Jr. LHB,Batting Seventh ​,="5-39",.128,.231,0.103,1,1,0,4,24.4,0,.146,.377
Bryan De La Cruz RHB,Batting Eighth ​,="4-6",.667,.833,0.166,0,1,0,0,0.0,0,.667,1.500
Derek Hill RHB,Batting Eighth ​,="14-48",.292,.625,0.333,5,1,0,7,31.5,5,.358,.983
Garrett Stubbs LHB,Batting Ninth ​,="2-23",.087,.087,0.000,0,0,0,2,14.8,1,.185,.272
Justin Crawford LHB,Batting Ninth ​,="46-178",.258,.343,0.085,1,10,1,13,22.1,13,.314,.657
