Matchup,PHI @ MIN
Pitcher,Andrew Painter
Pitcher Team,PHI
Opposing Team,MIN

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,11.0,1.27,="9-42",.214,.357,0.143,1,3,0,3,22.4,5,.327,.684
Batting Second,9.2,1.55,="11-39",.282,.462,0.180,2,1,0,6,22.2,4,.356,.818
Batting Third,8.1,2.40,="15-39",.385,.564,0.179,1,2,1,8,11.4,5,.455,1.019
Batting Fourth,8.2,1.73,="11-35",.314,.629,0.315,3,2,0,6,17.5,4,.400,1.029
Batting Fifth,9.0,1.33,="10-36",.278,.361,0.083,1,0,0,9,23.1,2,.308,.669
Batting Sixth,8.1,1.68,="10-33",.303,.697,0.394,4,1,0,7,8.1,4,.378,1.075
Batting Seventh,6.2,2.55,="14-34",.412,.559,0.147,1,2,0,5,16.2,3,.459,1.018
Batting Eighth,10.1,0.48,="1-27",.037,.037,0.000,0,0,0,1,20.0,4,.156,.193
Batting Ninth,8.0,1.38,="11-34",.324,.588,0.264,2,3,0,5,32.4,0,.324,.912

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Byron Buxton RHB,Batting First ​,="55-201",.274,.602,0.328,19,9,0,28,26.4,17,.336,.938
Trevor Larnach LHB,Batting First ​,="45-148",.304,.507,0.203,7,9,0,24,12.9,14,.364,.871
Austin Martin RHB,Batting First ​,="26-109",.239,.349,0.110,1,9,0,11,17.6,20,.375,.724
Brooks Lee SHB,Batting Second ​,="24-139",.173,.324,0.151,6,3,0,20,18.5,10,.232,.556
Kody Clemens LHB,Batting Third ​,="33-157",.210,.465,0.255,11,7,0,28,22.5,10,.254,.719
Ryan Jeffers RHB,Batting Third ​,="21-67",.313,.552,0.239,4,4,0,11,16.5,11,.405,.957
Josh Bell SHB,Batting Fourth ​,="52-236",.220,.386,0.166,8,13,1,32,23.3,20,.283,.669
Royce Lewis RHB,Batting Fifth ​,="31-110",.282,.555,0.273,8,6,0,15,18.9,10,.344,.899
Victor Caratini SHB,Batting Sixth ​,="24-133",.180,.338,0.158,5,6,0,16,21.9,12,.277,.615
Luke Keaschall RHB,Batting Sixth ​,="16-93",.172,.237,0.065,1,3,0,8,21.2,6,.233,.470
Alan Roden LHB,Batting Seventh ​,="5-26",.192,.231,0.039,0,1,0,4,16.1,4,.290,.521
Ryan Kreidler RHB,Batting Ninth ​,="20-104",.192,.327,0.135,2,4,2,13,19.8,7,.243,.570
Kaelen Culpepper RHB,Batting Ninth ​,="4-12",.333,.417,0.084,0,1,0,0,33.3,0,.333,.750
