Matchup,PHI @ NYM
Pitcher,Aaron Nola
Pitcher Team,PHI
Opposing Team,NYM

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,20.0,1.55,="26-85",.306,.376,0.070,1,3,0,6,22.2,5,.344,.720
Batting Second,20.0,1.55,="22-77",.286,.584,0.298,6,3,1,11,17.0,9,.352,.936
Batting Third,18.1,1.85,="27-79",.342,.658,0.316,6,7,0,12,21.8,7,.391,1.049
Batting Fourth,18.1,1.58,="22-76",.289,.500,0.211,4,4,0,13,21.4,7,.357,.857
Batting Fifth,18.0,1.33,="17-69",.246,.406,0.160,3,2,0,7,23.1,7,.325,.731
Batting Sixth,18.2,0.80,="12-65",.185,.354,0.169,3,2,0,8,27.5,3,.217,.571
Batting Seventh,17.1,0.98,="11-61",.180,.426,0.246,3,2,2,4,37.3,6,.254,.680
Batting Eighth,16.1,0.92,="10-58",.172,.362,0.190,3,2,0,8,23.4,5,.234,.596
Batting Ninth,12.2,1.97,="19-56",.339,.661,0.322,5,3,0,11,25.4,6,.403,1.064

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Francisco Lindor SHB,Batting First ​,="39-186",.210,.414,0.204,10,4,2,20,21.6,18,.293,.707
Carson Benge LHB,Batting First ​,="59-210",.281,.429,0.148,7,6,2,23,21.6,13,.335,.764
A.J. Ewing LHB,Batting First ​,="35-166",.211,.301,0.090,2,9,0,8,26.2,14,.273,.574
Juan Soto LHB,Batting Second ​,="53-206",.257,.461,0.204,11,7,1,31,15.1,45,.389,.850
Bo Bichette RHB,Batting Third ​,="78-285",.274,.393,0.119,7,11,1,34,18.0,22,.322,.715
Mark Vientos RHB,Batting Fourth ​,="24-121",.198,.397,0.199,6,6,0,19,20.3,6,.242,.639
Jared Young LHB,Batting Fifth ​,="40-122",.328,.459,0.131,1,9,2,17,17.8,10,.378,.837
Marcus Semien RHB,Batting Sixth ​,="36-179",.201,.335,0.134,6,4,1,22,18.4,13,.255,.590
Christopher Morel RHB,Batting Eighth ​,="7-26",.269,.462,0.193,1,2,0,4,33.3,3,.367,.829
Brett Baty LHB,Batting Eighth ​,="30-131",.229,.389,0.160,4,9,0,15,24.5,9,.273,.662
Luis Torrens RHB,Batting Ninth ​,="46-196",.235,.383,0.148,6,11,0,28,19.8,15,.302,.685
Cristian Pache RHB,Batting Ninth ​,="0-2",.000,.000,0.000,0,0,0,0,50.0,0,.000,.000
Francisco Alvarez RHB,Batting Ninth ​,="37-136",.272,.500,0.228,8,7,0,19,29.9,18,.365,.865
Nick Morabito RHB,Batting Ninth ​,="3-14",.214,.214,0.000,0,0,0,1,5.6,3,.389,.603
