Matchup,PHI @ SEA
Pitcher,Aaron Nola
Pitcher Team,PHI
Opposing Team,SEA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,17.0,1.65,="23-73",.315,.397,0.082,1,3,0,6,21.8,5,.359,.756
Batting Second,16.2,1.68,="20-67",.299,.612,0.313,6,1,1,10,18.4,8,.368,.980
Batting Third,16.0,1.81,="23-68",.338,.647,0.309,5,6,0,10,21.3,6,.387,1.034
Batting Fourth,14.2,1.84,="21-65",.323,.569,0.246,4,4,0,12,22.2,6,.389,.958
Batting Fifth,16.1,1.16,="14-61",.230,.344,0.114,2,1,0,6,25.4,5,.288,.632
Batting Sixth,15.0,0.93,="11-55",.200,.400,0.200,3,2,0,8,30.5,3,.237,.637
Batting Seventh,14.2,1.02,="10-52",.192,.423,0.231,2,2,2,3,35.1,5,.263,.686
Batting Eighth,14.1,0.84,="8-50",.160,.380,0.220,3,2,0,8,25.5,4,.218,.598
Batting Ninth,10.2,2.06,="18-49",.367,.735,0.368,5,3,0,11,25.9,4,.415,1.150

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Taylor Ward RHB,Batting First ​,="67-283",.237,.336,0.099,5,11,1,21,20.8,43,.341,.677
JP Crawford LHB,Batting First ​,="50-210",.238,.405,0.167,9,8,0,22,20.4,35,.356,.761
Cal Raleigh SHB,Batting Second ​,="30-176",.170,.335,0.165,8,5,0,21,30.8,23,.264,.599
Julio Rodriguez RHB,Batting Second ​,="50-203",.246,.394,0.148,7,9,0,22,18.3,16,.304,.698
Dominic Canzone LHB,Batting Third ​,="32-136",.235,.382,0.147,4,8,0,18,23.2,15,.311,.693
Josh Naylor LHB,Batting Fourth ​,="54-194",.278,.381,0.103,5,5,0,21,15.3,18,.344,.725
Randy Arozarena RHB,Batting Fifth ​,="47-149",.315,.456,0.141,3,10,1,14,23.7,16,.399,.855
Cole Young LHB,Batting Sixth ​,="24-100",.240,.330,0.090,2,3,0,11,16.4,6,.294,.624
Patrick Wisdom RHB,Batting Seventh ​,="3-18",.167,.389,0.222,1,1,0,3,40.0,2,.250,.639
Jhonny Pereda RHB,Batting Eighth ​,="14-53",.264,.321,0.057,1,0,0,3,21.4,3,.304,.625
Weston Wilson RHB,Batting Eighth ​,="14-63",.222,.349,0.127,2,2,0,4,29.2,9,.319,.668
Victor Robles RHB,Batting Eighth ​,="15-59",.254,.356,0.102,0,2,2,6,16.2,7,.343,.699
Leo Rivas SHB,Batting Ninth ​,="13-95",.137,.189,0.052,0,3,1,8,27.6,14,.272,.461
Brock Rodden SHB,Batting Ninth ​,="6-28",.214,.357,0.143,0,2,1,3,40.6,3,.281,.638
