Matchup,PHI @ SEA
Pitcher,George Kirby
Pitcher Team,SEA
Opposing Team,PHI

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,19.2,0.97,="14-70",.200,.357,0.157,3,2,0,6,16.0,5,.253,.610
Batting Second,15.2,1.85,="25-69",.362,.536,0.174,3,3,0,7,14.9,4,.405,.941
Batting Third,15.2,1.79,="22-64",.344,.641,0.297,5,2,1,11,12.9,6,.400,1.041
Batting Fourth,18.1,0.87,="14-66",.212,.394,0.182,2,6,0,8,27.9,2,.235,.629
Batting Fifth,14.1,1.74,="22-62",.355,.484,0.129,1,5,0,8,24.2,3,.379,.863
Batting Sixth,16.0,1.31,="16-59",.271,.458,0.187,2,3,1,10,21.9,5,.328,.786
Batting Seventh,14.0,1.29,="14-55",.255,.364,0.109,1,3,0,6,28.8,4,.305,.669
Batting Eighth,12.1,1.70,="19-55",.345,.491,0.146,0,6,1,7,14.0,2,.368,.859
Batting Ninth,13.2,0.95,="11-50",.220,.240,0.020,0,1,0,0,20.4,2,.278,.518

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Trea Turner RHB,Batting First ​,="96-374",.257,.417,0.160,14,16,1,38,21.6,25,.305,.722
Luis Arraez LHB,Batting Second ​,="71-190",.374,.474,0.100,2,9,2,16,2.3,16,.425,.899
Kyle Schwarber LHB,Batting Second ​,="77-314",.245,.576,0.331,30,12,1,58,34.1,56,.365,.941
Bryce Harper LHB,Batting Third ​,="120-443",.271,.515,0.244,26,24,3,75,20.5,90,.390,.905
Alec Bohm RHB,Batting Fourth ​,="44-190",.232,.353,0.121,5,8,0,27,12.3,12,.281,.634
Edmundo Sosa RHB,Batting Fifth ​,="12-54",.222,.241,0.019,0,1,0,9,19.7,3,.267,.508
Brandon Marsh LHB,Batting Fifth ​,="44-143",.308,.462,0.154,5,7,0,19,21.6,9,.346,.808
Bryson Stott LHB,Batting Sixth ​,="52-185",.281,.422,0.141,4,6,4,25,18.8,20,.350,.772
J.T. Realmuto RHB,Batting Seventh ​,="28-125",.224,.352,0.128,3,7,0,13,24.3,8,.300,.652
Bryan De La Cruz RHB,Batting Eighth ​,="5-13",.385,.462,0.077,0,1,0,2,15.4,0,.385,.847
Garrett Stubbs LHB,Batting Ninth ​,="4-36",.111,.111,0.000,0,0,0,3,19.5,2,.195,.306
Derek Hill RHB,Batting Ninth ​,="14-61",.230,.295,0.065,1,1,0,9,40.6,2,.266,.561
Justin Crawford LHB,Batting Ninth ​,="58-215",.270,.349,0.079,1,12,1,17,19.7,15,.319,.668
