Matchup,PHI @ STL
Pitcher,Kyle Leahy
Pitcher Team,STL
Opposing Team,PHI

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,12.0,2.42,="20-54",.370,.667,0.297,3,5,1,6,20.3,9,.469,1.136
Batting Second,15.1,1.11,="13-58",.224,.466,0.242,3,5,0,5,19.4,4,.274,.740
Batting Third,15.0,1.00,="12-56",.214,.250,0.036,0,2,0,5,27.1,3,.254,.504
Batting Fourth,13.2,1.17,="11-50",.220,.440,0.220,2,5,0,10,21.1,5,.298,.738
Batting Fifth,12.0,1.67,="16-50",.320,.420,0.100,1,2,0,3,11.1,4,.370,.790
Batting Sixth,13.0,0.85,="11-49",.224,.286,0.062,0,3,0,3,25.5,0,.240,.526
Batting Seventh,9.1,2.04,="14-41",.341,.463,0.122,1,2,0,2,17.4,5,.413,.876
Batting Eighth,9.1,1.82,="14-38",.368,.526,0.158,1,3,0,5,14.0,3,.442,.968
Batting Ninth,11.2,0.60,="5-38",.132,.211,0.079,1,0,0,1,31.0,2,.175,.386

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Trea Turner RHB,Batting First ​,="96-374",.257,.417,0.160,14,16,1,38,21.6,25,.305,.722
Luis Arraez LHB,Batting Second ​,="71-190",.374,.474,0.100,2,9,2,16,2.3,16,.425,.899
Kyle Schwarber LHB,Batting Second ​,="77-314",.245,.576,0.331,30,12,1,58,34.1,56,.365,.941
Bryce Harper LHB,Batting Third ​,="106-406",.261,.512,0.251,25,21,3,71,20.7,78,.376,.888
Alec Bohm RHB,Batting Fourth ​,="44-190",.232,.353,0.121,5,8,0,27,12.3,12,.281,.634
Edmundo Sosa RHB,Batting Fifth ​,="12-54",.222,.241,0.019,0,1,0,9,19.7,3,.267,.508
Brandon Marsh LHB,Batting Fifth ​,="43-140",.307,.464,0.157,5,7,0,19,22.1,8,.342,.806
Bryson Stott LHB,Batting Sixth ​,="49-168",.292,.446,0.154,4,6,4,23,19.4,16,.351,.797
J.T. Realmuto RHB,Batting Seventh ​,="28-118",.237,.373,0.136,3,7,0,13,22.6,8,.316,.689
Bryan De La Cruz RHB,Batting Eighth ​,="4-11",.364,.455,0.091,0,1,0,0,18.2,0,.364,.819
Derek Hill RHB,Batting Eighth ​,="15-53",.283,.642,0.359,6,1,0,11,28.8,5,.345,.987
Garrett Stubbs LHB,Batting Ninth ​,="2-33",.061,.061,0.000,0,0,0,2,21.1,2,.158,.219
Justin Crawford LHB,Batting Ninth ​,="52-197",.264,.345,0.081,1,11,1,15,20.6,15,.319,.664
