Matchup,PIT @ CWS
Pitcher,Jared Jones
Pitcher Team,PIT
Opposing Team,CWS

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,12.0,1.00,="8-43",.186,.442,0.256,2,3,1,4,38.3,4,.255,.697
Batting Second,10.0,1.30,="8-40",.200,.375,0.175,2,1,0,4,21.7,5,.304,.679
Batting Third,10.1,1.06,="10-40",.250,.450,0.200,2,2,0,4,36.6,1,.268,.718
Batting Fourth,7.2,1.57,="9-32",.281,.313,0.032,0,1,0,1,28.6,3,.343,.656
Batting Fifth,7.1,1.91,="11-31",.355,.742,0.387,3,3,0,8,28.6,3,.400,1.142
Batting Sixth,9.1,0.64,="4-31",.129,.290,0.161,1,0,1,3,20.6,2,.176,.466
Batting Seventh,8.0,1.13,="6-30",.200,.267,0.067,0,2,0,3,27.3,3,.273,.540
Batting Eighth,7.1,1.23,="6-28",.214,.321,0.107,0,3,0,1,19.4,3,.290,.611
Batting Ninth,6.1,1.74,="7-25",.280,.560,0.280,2,1,0,8,22.6,4,.400,.960

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Sam Antonacci LHB,Batting First ​,="80-312",.256,.372,0.116,6,16,1,28,16.2,33,.359,.731
Chase Meidroth RHB,Batting First ​,="39-146",.267,.459,0.192,6,10,0,15,24.2,19,.352,.811
Munetaka Murakami LHB,Batting Second ​,="70-327",.214,.459,0.245,22,14,0,47,34.7,66,.349,.808
Miguel Vargas RHB,Batting Third ​,="85-343",.248,.469,0.221,18,22,0,43,18.6,56,.359,.828
Kyle Teel LHB,Batting Third ​,="5-22",.227,.545,0.318,2,1,0,9,33.3,2,.292,.837
Randal Grichuk RHB,Batting Fourth ​,="23-56",.411,.750,0.339,4,7,0,14,20.0,4,.450,1.200
Andrew Benintendi LHB,Batting Fourth ​,="21-92",.228,.391,0.163,3,6,0,13,18.6,9,.294,.685
Colson Montgomery LHB,Batting Fourth ​,="66-296",.223,.456,0.233,19,12,0,49,34.1,27,.302,.758
Braden Montgomery SHB,Batting Fifth ​,="21-105",.200,.286,0.086,1,4,1,11,17.8,13,.288,.574
Edgar Quero SHB,Batting Fifth ​,="4-47",.085,.170,0.085,1,1,0,6,24.6,7,.193,.363
Brenton Doyle RHB,Batting Seventh ​,="6-39",.154,.154,0.000,0,0,0,0,34.9,4,.233,.387
Tristan Peters LHB,Batting Eighth ​,="52-178",.292,.545,0.253,9,12,3,31,15.7,14,.344,.889
Jake Rogers RHB,Batting Ninth ​,="17-112",.152,.232,0.080,1,4,1,8,28.8,15,.252,.484
Luisangel Acuna RHB,Batting Ninth ​,="20-87",.230,.287,0.057,1,2,0,5,17.0,4,.269,.556
