Matchup,PIT @ MIA
Pitcher,Braxton Ashcraft
Pitcher Team,PIT
Opposing Team,MIA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,16.1,1.29,="18-67",.269,.448,0.179,2,4,1,5,22.5,3,.310,.758
Batting Second,16.1,1.10,="11-60",.183,.383,0.200,4,0,0,9,27.5,7,.275,.658
Batting Third,13.1,1.80,="19-60",.317,.417,0.100,1,3,0,6,29.2,5,.369,.786
Batting Fourth,17.1,1.04,="14-56",.250,.357,0.107,1,3,0,7,26.6,4,.297,.654
Batting Fifth,13.1,1.58,="19-58",.328,.707,0.379,7,1,0,14,25.0,2,.350,1.057
Batting Sixth,15.2,0.77,="9-52",.173,.231,0.058,0,3,0,3,32.8,3,.224,.455
Batting Seventh,15.0,0.87,="12-55",.218,.400,0.182,2,2,1,5,35.1,1,.246,.646
Batting Eighth,13.0,1.00,="11-50",.220,.340,0.120,1,3,0,3,23.1,2,.250,.590
Batting Ninth,11.1,1.15,="8-41",.195,.317,0.122,1,2,0,5,16.0,5,.306,.623

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jakob Marsee LHB,Batting First ​,="22-123",.179,.260,0.081,1,3,2,10,22.0,21,.306,.566
Otto Lopez RHB,Batting Third ​,="48-167",.287,.407,0.120,3,9,1,19,15.8,4,.311,.718
Agustin Ramirez RHB,Batting Third ​,="16-52",.308,.423,0.115,1,3,0,9,19.3,3,.351,.774
Xavier Edwards SHB,Batting Fourth ​,="46-171",.269,.333,0.064,1,6,1,21,12.2,29,.366,.699
Heriberto Hernandez RHB,Batting Fifth ​,="19-88",.216,.398,0.182,4,2,1,13,24.2,7,.274,.672
Griffin Conine LHB,Batting Sixth ​,="11-39",.282,.641,0.359,4,2,0,7,22.7,5,.364,1.005
Owen Caissie LHB,Batting Sixth ​,="20-101",.198,.356,0.158,4,4,0,21,35.7,9,.270,.626
Leo Jimenez RHB,Batting Seventh ​,="8-36",.222,.333,0.111,1,1,0,5,20.9,3,.349,.682
Joe Mack LHB,Batting Eighth ​,="22-108",.204,.380,0.176,5,4,0,16,19.5,8,.265,.645
Brian Navarreto RHB,Batting Ninth ​,="2-11",.182,.273,0.091,0,1,0,0,26.7,1,.308,.581
Esteury Ruiz RHB,Batting Ninth ​,="10-42",.238,.476,0.238,2,4,0,2,28.0,5,.347,.823
Graham Pauley LHB,Batting Ninth ​,="5-48",.104,.167,0.063,0,3,0,3,33.3,2,.140,.307
Javier Sanoja RHB,Batting Ninth ​,="40-139",.288,.403,0.115,1,13,0,14,8.8,8,.327,.730
