Matchup,PIT @ SD
Pitcher,Robbie Ray
Pitcher Team,SD
Opposing Team,PIT

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,19.0,1.05,="13-67",.194,.373,0.179,3,3,0,7,18.4,7,.263,.636
Batting Second,15.1,1.83,="18-63",.286,.508,0.222,3,3,1,8,13.5,10,.378,.886
Batting Third,17.0,1.47,="14-62",.226,.274,0.048,0,3,0,1,19.2,11,.342,.616
Batting Fourth,14.0,1.71,="11-53",.208,.453,0.245,4,1,0,7,19.4,13,.373,.826
Batting Fifth,13.0,1.92,="15-53",.283,.396,0.113,1,3,0,7,17.5,10,.397,.793
Batting Sixth,15.1,1.30,="16-56",.286,.482,0.196,3,2,0,6,23.3,4,.333,.815
Batting Seventh,16.2,0.54,="7-54",.130,.222,0.092,1,2,0,2,31.6,2,.161,.383
Batting Eighth,14.0,0.86,="8-49",.163,.245,0.082,1,1,0,6,23.2,4,.218,.463
Batting Ninth,11.1,1.59,="11-44",.250,.477,0.227,2,4,0,5,19.2,7,.346,.823

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jake Mangum SHB,Batting First ​,="43-151",.285,.404,0.119,3,7,1,12,22.6,8,.335,.739
Oneil Cruz LHB,Batting First ​,="41-175",.234,.406,0.172,7,9,0,25,35.8,13,.295,.701
Spencer Horwitz LHB,Batting First ​,="30-120",.250,.408,0.158,5,4,0,9,13.6,16,.357,.765
Brandon Lowe LHB,Batting Second ​,="110-424",.259,.505,0.246,26,24,1,73,28.4,44,.328,.833
Bryan Reynolds SHB,Batting Third ​,="126-481",.262,.428,0.166,15,31,2,64,24.1,76,.371,.799
Esmerlyn Valdez RHB,Batting Fourth ​,="26-123",.211,.472,0.261,8,6,1,28,39.1,25,.344,.816
Nick Yorke RHB,Batting Fifth ​,="7-31",.226,.290,0.064,0,2,0,1,20.0,2,.314,.604
Nick Gonzales RHB,Batting Sixth ​,="57-154",.370,.487,0.117,3,9,0,17,14.4,10,.419,.906
Jared Triolo RHB,Batting Eighth ​,="32-111",.288,.378,0.090,2,4,0,14,19.7,8,.347,.725
Jacob Gonzalez LHB,Batting Eighth ​,="11-57",.193,.351,0.158,2,3,0,9,18.6,0,.203,.554
Rafael Flores RHB,Batting Eighth ​,="4-20",.200,.400,0.200,1,1,0,2,20.8,4,.333,.733
Henry Davis RHB,Batting Ninth ​,="34-206",.165,.306,0.141,8,5,0,29,21.4,21,.263,.569
Billy Cook RHB,Batting Ninth ​,="6-29",.207,.276,0.069,0,0,1,2,48.3,0,.207,.483
