Matchup,SD @ ATL
Pitcher,Chris Sale
Pitcher Team,ATL
Opposing Team,SD

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,12.0,1.50,="14-50",.280,.380,0.100,1,2,0,4,13.0,4,.333,.713
Batting Second,10.2,1.78,="16-49",.327,.367,0.040,0,2,0,0,20.8,3,.377,.744
Batting Third,12.0,1.42,="15-47",.319,.574,0.255,3,3,0,5,25.5,2,.340,.914
Batting Fourth,12.2,0.87,="6-43",.140,.209,0.069,1,0,0,3,30.0,5,.240,.449
Batting Fifth,12.2,0.71,="7-45",.156,.244,0.088,1,1,0,5,44.9,2,.224,.468
Batting Sixth,11.1,0.97,="10-43",.233,.256,0.023,0,1,0,2,34.8,1,.283,.539
Batting Seventh,12.0,0.67,="4-38",.105,.184,0.079,1,0,0,5,34.1,4,.227,.411
Batting Eighth,10.0,1.30,="10-38",.263,.395,0.132,1,2,0,3,26.8,3,.317,.712
Batting Ninth,11.1,0.44,="4-36",.111,.139,0.028,0,1,0,1,34.2,1,.158,.297

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Fernando Tatis Jr. RHB,Batting First ​,="77-252",.306,.472,0.166,8,16,1,32,17.3,21,.365,.837
Jackson Merrill LHB,Batting Third ​,="29-128",.227,.359,0.132,4,5,0,12,28.1,7,.272,.631
Manny Machado RHB,Batting Fourth ​,="42-198",.212,.419,0.207,11,8,0,35,21.6,25,.295,.714
Xander Bogaerts RHB,Batting Fifth ​,="38-160",.238,.313,0.075,3,3,0,16,19.7,16,.309,.622
Luis Rengifo SHB,Batting Sixth ​,="15-49",.306,.408,0.102,0,5,0,8,10.7,6,.393,.801
Gavin Sheets LHB,Batting Sixth ​,="13-75",.173,.347,0.174,3,4,0,10,27.2,5,.235,.582
Ty France RHB,Batting Seventh ​,="22-83",.265,.627,0.362,8,4,1,20,30.8,4,.319,.946
Luis Campusano RHB,Batting Eighth ​,="10-34",.294,.706,0.412,3,5,0,6,23.7,3,.368,1.074
Jase Bowen RHB,Batting Eighth ​,="3-28",.107,.143,0.036,0,1,0,3,37.9,0,.138,.281
Jake Cronenworth LHB,Batting Ninth ​,="9-58",.155,.241,0.086,1,2,0,4,17.1,8,.290,.531
Rodolfo Durán RHB,Batting Ninth ​,="10-61",.164,.361,0.197,3,3,0,7,28.6,7,.261,.622
Freddy Fermin RHB,Batting Ninth ​,="12-71",.169,.338,0.169,3,3,0,9,21.0,7,.241,.579
Sung-Mun Song LHB,Batting Ninth ​,="12-48",.250,.375,0.125,1,3,0,10,20.4,5,.321,.696
