Matchup,SD @ LAD
Pitcher,Tyler Glasnow
Pitcher Team,LAD
Opposing Team,SD

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,9.0,0.89,="4-30",.133,.233,0.100,1,0,0,1,32.4,4,.235,.468
Batting Second,7.1,1.64,="8-29",.276,.517,0.241,1,2,1,3,23.5,4,.353,.870
Batting Third,8.2,1.04,="8-32",.250,.375,0.125,1,1,0,5,29.4,1,.273,.648
Batting Fourth,8.0,1.00,="5-29",.172,.276,0.104,1,0,0,5,27.3,3,.273,.549
Batting Fifth,7.0,1.29,="4-26",.154,.308,0.154,1,1,0,2,35.5,5,.290,.598
Batting Sixth,8.0,0.63,="2-24",.083,.125,0.042,0,1,0,2,32.1,3,.179,.304
Batting Seventh,7.1,0.27,="1-22",.045,.045,0.000,0,0,0,1,50.0,1,.083,.128
Batting Eighth,5.1,1.31,="5-21",.238,.429,0.191,1,1,0,3,43.5,2,.304,.733
Batting Ninth,6.0,0.83,="5-23",.217,.478,0.261,1,3,0,2,30.4,0,.217,.695

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Fernando Tatis Jr. RHB,Batting First ​,="141-473",.298,.522,0.224,25,27,2,67,16.8,42,.361,.883
Jake Cronenworth LHB,Batting Second ​,="33-144",.229,.319,0.090,3,4,0,15,27.7,14,.297,.616
Samad Taylor RHB,Batting Second ​,="15-50",.300,.340,0.040,0,0,1,3,27.9,9,.417,.757
Dustin Harris LHB,Batting Second ​,="12-41",.293,.390,0.097,0,2,1,10,13.0,2,.348,.738
Manny Machado RHB,Batting Third ​,="83-368",.226,.410,0.184,18,14,0,52,20.5,50,.315,.725
Ty France RHB,Batting Fourth ​,="72-221",.326,.511,0.185,9,14,0,37,19.1,24,.398,.909
Xander Bogaerts RHB,Batting Fifth ​,="40-167",.240,.311,0.071,3,3,0,16,19.4,17,.312,.623
Jackson Merrill LHB,Batting Fifth ​,="77-256",.301,.559,0.258,16,10,4,49,23.0,16,.343,.902
Luis Campusano RHB,Batting Sixth ​,="17-72",.236,.347,0.111,2,2,0,9,20.7,13,.368,.715
Austin Hays RHB,Batting Seventh ​,="9-29",.310,.448,0.138,1,1,0,3,29.0,2,.355,.803
Jase Bowen RHB,Batting Eighth ​,="3-33",.091,.121,0.030,0,1,0,3,38.2,0,.118,.239
Freddy Fermin RHB,Batting Ninth ​,="23-110",.209,.336,0.127,3,5,0,13,22.2,10,.276,.612
Ethan Salas LHB,Batting Ninth ​,="5-20",.250,.650,0.400,2,0,1,4,14.3,1,.286,.936
Sung-Mun Song LHB,Batting Ninth ​,="14-74",.189,.270,0.081,1,3,0,11,21.2,7,.256,.526
