Matchup,SD @ PHI
Pitcher,Cristopher Sanchez
Pitcher Team,PHI
Opposing Team,SD

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,10.1,0.97,="9-39",.231,.308,0.077,0,3,0,0,24.4,1,.250,.558
Batting Second,9.1,1.18,="9-37",.243,.324,0.081,0,3,0,1,25.6,2,.282,.606
Batting Third,8.0,1.75,="11-35",.314,.486,0.172,1,3,0,4,21.1,3,.368,.854
Batting Fourth,9.1,1.07,="8-34",.235,.235,0.000,0,0,0,1,33.3,2,.278,.513
Batting Fifth,8.1,1.32,="9-34",.265,.324,0.059,0,2,0,1,22.2,2,.306,.630
Batting Sixth,7.2,1.57,="10-33",.303,.545,0.242,2,2,0,7,37.1,2,.343,.888
Batting Seventh,9.1,0.64,="6-32",.188,.219,0.031,0,1,0,1,39.4,0,.182,.401
Batting Eighth,7.0,1.71,="9-30",.300,.333,0.033,0,1,0,0,27.3,3,.364,.697
Batting Ninth,9.1,0.32,="2-30",.067,.067,0.000,0,0,0,0,37.5,1,.125,.192

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Fernando Tatis Jr. RHB,Batting Second ​,="32-128",.250,.289,0.039,0,3,1,13,26.0,17,.336,.625
Jackson Merrill LHB,Batting Third ​,="22-101",.218,.347,0.129,3,4,0,10,25.2,7,.275,.622
Manny Machado RHB,Batting Fourth ​,="29-137",.212,.445,0.233,9,5,0,28,22.6,19,.302,.747
Xander Bogaerts RHB,Batting Fifth ​,="34-142",.239,.310,0.071,3,1,0,15,19.6,15,.310,.620
Miguel Andujar RHB,Batting Sixth ​,="14-46",.304,.500,0.196,1,4,1,8,19.1,1,.319,.819
Gavin Sheets LHB,Batting Sixth ​,="12-71",.169,.338,0.169,3,3,0,9,26.0,5,.234,.572
Nick Castellanos RHB,Batting Seventh ​,="15-66",.227,.379,0.152,2,4,0,14,26.1,1,.232,.611
Ty France RHB,Batting Seventh ​,="14-55",.255,.545,0.290,4,2,1,9,27.1,3,.305,.850
Jase Bowen RHB,Batting Seventh ​,="1-4",.250,.250,0.000,0,0,0,0,75.0,0,.250,.500
Freddy Fermin RHB,Batting Eighth ​,="7-50",.140,.200,0.060,0,3,0,1,19.7,8,.279,.479
Sung-Mun Song LHB,Batting Eighth ​,="1-12",.083,.083,0.000,0,0,0,1,20.0,3,.267,.350
Rodolfo Durán RHB,Batting Ninth ​,="2-23",.087,.217,0.130,1,0,0,2,32.1,4,.250,.467
Bryce Johnson SHB,Batting Ninth ​,="3-17",.176,.294,0.118,0,2,0,2,45.0,3,.300,.594
