Matchup,SD @ WSH
Pitcher,Zack Littell
Pitcher Team,WSH
Opposing Team,SD

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,5.2,2.47,="11-26",.423,.885,0.462,3,3,0,5,6.5,3,.452,1.337
Batting Second,6.2,1.50,="8-28",.286,.607,0.321,3,0,0,4,13.3,2,.333,.940
Batting Third,6.2,0.90,="5-26",.192,.423,0.231,2,0,0,9,11.1,1,.222,.645
Batting Fourth,7.1,0.68,="4-25",.160,.360,0.200,1,2,0,3,30.8,1,.192,.552
Batting Fifth,5.2,1.06,="3-22",.136,.318,0.182,1,1,0,1,28.0,3,.240,.558
Batting Sixth,4.1,2.54,="9-22",.409,.864,0.455,3,1,0,6,4.2,2,.458,1.322
Batting Seventh,5.1,1.31,="4-20",.200,.350,0.150,1,0,0,5,4.2,3,.292,.642
Batting Eighth,5.1,1.31,="7-22",.318,.364,0.046,0,1,0,2,8.3,0,.348,.712
Batting Ninth,5.2,1.41,="6-21",.286,.476,0.190,1,1,0,2,8.3,2,.333,.809

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Ramon Laureano RHB,Batting First ​,="21-94",.223,.394,0.171,3,3,2,14,32.1,9,.292,.686
Fernando Tatis Jr. RHB,Batting Second ​,="32-128",.250,.289,0.039,0,3,1,13,26.0,17,.336,.625
Jackson Merrill LHB,Batting Third ​,="22-101",.218,.347,0.129,3,4,0,10,25.2,7,.275,.622
Manny Machado RHB,Batting Fourth ​,="29-137",.212,.445,0.233,9,5,0,28,22.6,19,.302,.747
Xander Bogaerts RHB,Batting Fifth ​,="34-142",.239,.310,0.071,3,1,0,15,19.6,15,.310,.620
Miguel Andujar RHB,Batting Sixth ​,="14-46",.304,.500,0.196,1,4,1,8,19.1,1,.319,.819
Gavin Sheets LHB,Batting Sixth ​,="12-71",.169,.338,0.169,3,3,0,9,26.0,5,.234,.572
Nick Castellanos RHB,Batting Seventh ​,="14-64",.219,.375,0.156,2,4,0,13,25.8,1,.227,.602
Ty France RHB,Batting Seventh ​,="14-55",.255,.545,0.290,4,2,1,9,27.1,3,.305,.850
Freddy Fermin RHB,Batting Eighth ​,="7-50",.140,.200,0.060,0,3,0,1,19.7,8,.279,.479
Rodolfo Durán RHB,Batting Ninth ​,="2-23",.087,.217,0.130,1,0,0,2,32.1,4,.250,.467
Bryce Johnson SHB,Batting Ninth ​,="3-17",.176,.294,0.118,0,2,0,2,45.0,3,.300,.594
Sung-Mun Song LHB,Batting Ninth ​,="2-11",.182,.273,0.091,0,1,0,2,33.3,1,.250,.523
