Matchup,SEA @ BOS
Pitcher,Bryce Miller
Pitcher Team,SEA
Opposing Team,BOS

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,13.0,0.77,="7-46",.152,.304,0.152,2,1,0,3,22.4,3,.204,.508
Batting Second,10.2,1.50,="8-39",.205,.513,0.308,3,1,1,7,14.9,8,.340,.853
Batting Third,9.1,1.82,="13-41",.317,.537,0.220,2,3,0,7,20.0,4,.378,.915
Batting Fourth,11.2,0.86,="8-42",.190,.310,0.120,1,2,0,4,40.0,2,.222,.532
Batting Fifth,11.0,0.91,="7-39",.179,.487,0.308,3,3,0,9,31.0,3,.238,.725
Batting Sixth,9.2,1.24,="10-38",.263,.500,0.237,3,0,0,4,22.5,2,.300,.800
Batting Seventh,11.2,0.60,="7-39",.179,.333,0.154,1,1,1,3,35.9,0,.179,.512
Batting Eighth,7.2,1.57,="10-33",.303,.455,0.152,1,2,0,1,8.3,2,.361,.816
Batting Ninth,8.2,0.92,="7-31",.226,.323,0.097,1,0,0,2,24.2,1,.250,.573

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jahmai Jones RHB,Batting First ​,="13-41",.317,.610,0.293,2,4,1,6,26.1,4,.391,1.001
Jarren Duran LHB,Batting First ​,="39-184",.212,.402,0.190,9,4,2,25,29.5,12,.265,.667
Nick Sogard SHB,Batting First ​,="18-82",.220,.305,0.085,1,4,0,6,20.0,15,.337,.642
Roman Anthony LHB,Batting First ​,="24-97",.247,.340,0.093,0,5,2,3,24.3,17,.365,.705
Ceddanne Rafaela RHB,Batting Second ​,="103-373",.276,.434,0.158,11,24,1,44,18.7,11,.301,.735
Mickey Gasper SHB,Batting Second ​,="11-39",.282,.436,0.154,2,0,0,4,25.0,2,.326,.762
Adley Rutschman SHB,Batting Third ​,="44-186",.237,.435,0.198,8,11,1,39,17.2,23,.316,.751
Wilyer Abreu LHB,Batting Third ​,="91-381",.239,.444,0.205,17,21,3,53,21.0,45,.319,.763
Trevor Story RHB,Batting Fifth ​,="11-48",.229,.313,0.084,0,4,0,7,25.9,4,.278,.591
Eli White RHB,Batting Sixth ​,="10-44",.227,.455,0.228,2,2,1,5,22.4,5,.306,.761
Caleb Durbin RHB,Batting Sixth ​,="49-197",.249,.386,0.137,6,7,1,30,14.4,22,.336,.722
Andruw Monasterio RHB,Batting Eighth ​,="25-88",.284,.375,0.091,1,5,0,12,18.2,8,.333,.708
Isiah Kiner-Falefa RHB,Batting Ninth ​,="10-46",.217,.304,0.087,1,1,0,8,14.0,4,.280,.584
Connor Wong RHB,Batting Ninth ​,="27-100",.270,.420,0.150,3,6,0,9,22.3,7,.336,.756
