Matchup,SEA @ BOS
Pitcher,Payton Tolle
Pitcher Team,BOS
Opposing Team,SEA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,14.1,1.67,="12-54",.222,.296,0.074,1,1,0,4,28.4,12,.358,.654
Batting Second,17.1,0.81,="8-58",.138,.362,0.224,3,2,1,4,27.7,6,.231,.593
Batting Third,16.1,0.92,="13-59",.220,.407,0.187,2,5,0,7,24.6,2,.246,.653
Batting Fourth,13.1,1.50,="16-54",.296,.426,0.130,1,4,0,4,24.1,4,.345,.771
Batting Fifth,15.0,0.67,="6-50",.120,.140,0.020,0,1,0,0,40.7,4,.185,.325
Batting Sixth,13.0,1.15,="11-50",.220,.400,0.180,2,3,0,6,16.7,4,.278,.678
Batting Seventh,13.1,0.83,="9-50",.180,.340,0.160,2,2,0,5,32.7,2,.212,.552
Batting Eighth,9.2,1.86,="17-46",.370,.674,0.304,3,5,0,7,26.5,1,.408,1.082
Batting Ninth,12.0,0.75,="9-43",.209,.279,0.070,0,3,0,4,31.1,0,.205,.484

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Taylor Ward RHB,Batting First ​,="67-287",.233,.331,0.098,5,11,1,21,20.6,43,.337,.668
JP Crawford LHB,Batting First ​,="50-210",.238,.405,0.167,9,8,0,22,20.4,35,.356,.761
Cal Raleigh SHB,Batting Second ​,="30-176",.170,.335,0.165,8,5,0,21,30.8,23,.264,.599
Julio Rodriguez RHB,Batting Third ​,="52-219",.237,.393,0.156,9,7,0,26,25.6,16,.298,.691
Dominic Canzone LHB,Batting Third ​,="32-136",.235,.382,0.147,4,8,0,18,23.2,15,.311,.693
Josh Naylor LHB,Batting Fourth ​,="57-206",.277,.374,0.097,5,5,0,22,15.4,18,.339,.713
Randy Arozarena RHB,Batting Fifth ​,="47-149",.315,.456,0.141,3,10,1,14,23.7,16,.399,.855
Cole Young LHB,Batting Sixth ​,="25-111",.225,.315,0.090,2,4,0,11,15.6,7,.281,.596
Patrick Wisdom RHB,Batting Seventh ​,="3-18",.167,.389,0.222,1,1,0,3,40.0,2,.250,.639
Jhonny Pereda RHB,Batting Eighth ​,="15-55",.273,.327,0.054,1,0,0,3,22.0,4,.322,.649
Weston Wilson RHB,Batting Eighth ​,="14-63",.222,.349,0.127,2,2,0,4,29.2,9,.319,.668
Victor Robles RHB,Batting Eighth ​,="15-59",.254,.356,0.102,0,2,2,6,16.2,7,.343,.699
Brock Rodden SHB,Batting Ninth ​,="6-40",.150,.250,0.100,0,2,1,3,30.4,5,.239,.489
