Matchup,SEA @ NYY
Pitcher,Will Warren
Pitcher Team,NYY
Opposing Team,SEA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,14.2,1.50,="16-60",.267,.517,0.250,3,4,1,7,27.3,6,.333,.850
Batting Second,14.0,1.50,="18-57",.316,.474,0.158,1,6,0,7,19.0,3,.339,.813
Batting Third,15.0,1.20,="16-58",.276,.448,0.172,1,5,1,5,16.1,2,.295,.743
Batting Fourth,12.0,2.00,="14-48",.292,.542,0.250,3,3,0,7,20.3,10,.407,.949
Batting Fifth,13.0,1.31,="17-55",.309,.527,0.218,3,3,0,13,25.5,0,.309,.836
Batting Sixth,11.2,1.46,="13-46",.283,.543,0.260,3,3,0,9,21.6,4,.353,.896
Batting Seventh,12.0,0.92,="8-43",.186,.209,0.023,0,1,0,0,37.5,3,.255,.464
Batting Eighth,11.0,1.36,="11-41",.268,.317,0.049,0,2,0,7,23.4,4,.319,.636
Batting Ninth,10.0,1.10,="6-39",.154,.308,0.154,1,3,0,4,17.8,5,.267,.575

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Taylor Ward RHB,Batting First ​,="66-278",.237,.338,0.101,5,11,1,21,21.2,43,.344,.682
Brendan Donovan LHB,Batting First ​,="20-70",.286,.500,0.214,3,4,1,8,12.9,9,.400,.900
Cal Raleigh SHB,Batting Second ​,="30-176",.170,.335,0.165,8,5,0,21,30.8,23,.264,.599
Julio Rodriguez RHB,Batting Second ​,="49-199",.246,.397,0.151,7,9,0,22,17.7,16,.305,.702
Dominic Canzone LHB,Batting Third ​,="22-103",.214,.369,0.155,4,4,0,13,21.1,11,.289,.658
Josh Naylor LHB,Batting Fourth ​,="51-186",.274,.382,0.108,5,5,0,21,15.0,18,.343,.725
Randy Arozarena RHB,Batting Fifth ​,="47-149",.315,.456,0.141,3,10,1,14,23.7,16,.399,.855
Jhonny Pereda RHB,Batting Eighth ​,="12-47",.255,.319,0.064,1,0,0,3,18.0,3,.300,.619
Weston Wilson RHB,Batting Eighth ​,="12-53",.226,.358,0.132,2,1,0,4,28.3,7,.317,.675
Victor Robles RHB,Batting Eighth ​,="9-45",.200,.244,0.044,0,2,0,2,20.0,3,.265,.509
Cole Young LHB,Batting Eighth ​,="24-95",.253,.358,0.105,2,4,0,13,22.3,5,.301,.659
Leo Rivas SHB,Batting Ninth ​,="11-86",.128,.174,0.046,0,2,1,7,29.2,14,.269,.443
Colt Emerson LHB,Batting Ninth ​,="32-166",.193,.361,0.168,7,5,1,14,31.3,12,.249,.610
