Matchup,SEA @ WSH
Pitcher,Miles Mikolas
Pitcher Team,WSH
Opposing Team,SEA

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,7.1,1.23,="7-30",.233,.533,0.300,2,3,0,4,31.3,2,.281,.814
Batting Second,7.1,1.23,="7-28",.250,.393,0.143,1,1,0,2,6.5,2,.290,.683
Batting Third,5.2,2.12,="10-26",.385,.731,0.346,3,0,0,9,10.3,2,.414,1.145
Batting Fourth,7.0,0.86,="5-26",.192,.308,0.116,1,0,0,2,18.5,1,.222,.530
Batting Fifth,7.1,1.23,="5-25",.200,.280,0.080,0,2,0,2,3.4,4,.310,.590
Batting Sixth,8.0,0.88,="6-29",.207,.241,0.034,0,1,0,2,10.0,1,.233,.474
Batting Seventh,7.0,1.57,="10-30",.333,.533,0.200,1,3,0,3,22.6,1,.355,.888
Batting Eighth,6.0,1.67,="8-24",.333,.708,0.375,3,0,0,7,14.8,2,.370,1.078
Batting Ninth,5.1,1.69,="8-25",.320,.720,0.400,3,1,0,5,11.5,1,.346,1.066

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Rob Refsnyder RHB,Batting First ​,="4-35",.114,.200,0.086,1,0,0,2,28.2,3,.179,.379
Julio Rodriguez RHB,Batting Third ​,="39-146",.267,.432,0.165,6,6,0,18,23.6,13,.335,.767
Josh Naylor LHB,Batting Fourth ​,="42-157",.268,.382,0.114,5,3,0,19,15.5,15,.333,.715
Randy Arozarena RHB,Batting Fifth ​,="46-139",.331,.482,0.151,3,10,1,14,22.2,15,.414,.896
Luke Raley LHB,Batting Sixth ​,="23-82",.280,.561,0.281,6,3,1,15,34.8,7,.352,.913
Patrick Wisdom RHB,Batting Seventh ​,="3-18",.167,.389,0.222,1,1,0,3,40.0,2,.250,.639
Miles Mastrobuoni LHB,Batting Seventh ​,="2-10",.200,.200,0.000,0,0,0,1,33.3,1,.250,.450
Dominic Canzone LHB,Batting Seventh ​,="23-75",.307,.640,0.333,6,7,0,13,22.9,7,.373,1.013
Jhonny Pereda RHB,Batting Eighth ​,="12-44",.273,.341,0.068,1,0,0,3,17.0,3,.319,.660
Mitch Garver RHB,Batting Eighth ​,="6-40",.150,.225,0.075,1,0,0,3,42.2,5,.244,.469
Victor Robles RHB,Batting Eighth ​,="4-11",.364,.455,0.091,0,1,0,0,9.1,0,.364,.819
Cole Young LHB,Batting Eighth ​,="21-81",.259,.370,0.111,2,3,0,13,22.5,5,.315,.685
Colt Emerson LHB,Batting Ninth ​,="15-59",.254,.610,0.356,5,4,1,10,27.7,5,.323,.933
