Matchup,SF @ ARI
Pitcher,Tyler Mahle
Pitcher Team,SF
Opposing Team,ARI

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,7.0,2.00,="11-31",.355,.710,0.355,3,2,0,6,28.6,3,.412,1.122
Batting Second,7.2,1.57,="4-26",.154,.154,0.000,0,0,0,1,17.6,8,.353,.507
Batting Third,6.2,2.25,="12-29",.414,.690,0.276,1,3,1,7,12.1,3,.455,1.145
Batting Fourth,7.1,1.50,="8-30",.267,.533,0.266,2,2,0,10,21.2,3,.333,.866
Batting Fifth,7.2,1.30,="9-29",.310,.448,0.138,1,1,0,3,22.6,1,.323,.771
Batting Sixth,6.0,1.83,="7-25",.280,.320,0.040,0,1,0,2,37.9,4,.379,.699
Batting Seventh,6.2,1.05,="5-22",.227,.500,0.273,2,0,0,5,28.0,2,.280,.780
Batting Eighth,7.0,0.57,="3-23",.130,.261,0.131,1,0,0,1,32.0,1,.167,.428
Batting Ninth,6.0,1.17,="6-22",.273,.455,0.182,1,1,0,2,4.3,1,.304,.759

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Ketel Marte SHB,Batting First ​,="75-279",.269,.487,0.218,14,17,1,45,14.1,22,.324,.811
Corbin Carroll LHB,Batting Second ​,="61-202",.302,.594,0.292,10,13,8,31,20.4,30,.396,.990
Geraldo Perdomo SHB,Batting Third ​,="37-156",.237,.359,0.122,2,7,3,16,11.6,25,.337,.696
Nolan Arenado RHB,Batting Fourth ​,="19-97",.196,.340,0.144,2,8,0,14,23.3,13,.310,.650
Gabriel Moreno RHB,Batting Fourth ​,="23-76",.303,.368,0.065,0,5,0,8,12.8,7,.360,.728
Adrian Del Castillo LHB,Batting Fourth ​,="14-77",.182,.299,0.117,2,3,0,11,31.3,2,.200,.499
Ildemaro Vargas SHB,Batting Fifth ​,="20-89",.225,.281,0.056,1,2,0,9,8.4,5,.274,.555
Pavin Smith LHB,Batting Fifth ​,="4-33",.121,.121,0.000,0,0,0,2,22.0,7,.268,.389
Lourdes Gurriel Jr. RHB,Batting Sixth ​,="15-43",.349,.395,0.046,0,2,0,6,13.7,6,.412,.807
Max Kepler LHB,Batting Seventh ​,="0-3",.000,.000,0.000,0,0,0,0,33.3,0,.000,.000
LuJames Groover RHB,Batting Eighth ​,="5-27",.185,.222,0.037,0,1,0,2,22.6,3,.290,.512
Jorge Barrosa SHB,Batting Ninth ​,="14-71",.197,.352,0.155,0,9,1,5,29.6,6,.269,.621
Tommy Troy RHB,Batting Ninth ​,="16-72",.222,.361,0.139,2,2,1,4,23.2,10,.317,.678
