Matchup,SF @ ATL
Pitcher,Martin Perez
Pitcher Team,ATL
Opposing Team,SF

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,8.0,1.25,="6-29",.207,.483,0.276,2,2,0,3,15.2,4,.303,.786
Batting Second,7.1,1.64,="8-27",.296,.407,0.111,0,1,1,0,15.6,4,.406,.813
Batting Third,7.0,1.00,="6-25",.240,.560,0.320,2,0,1,3,25.0,1,.259,.819
Batting Fourth,7.2,0.65,="2-24",.083,.125,0.042,0,1,0,1,29.6,3,.185,.310
Batting Fifth,6.1,1.11,="4-22",.182,.227,0.045,0,1,0,1,23.1,3,.269,.496
Batting Sixth,6.2,1.05,="7-26",.269,.538,0.269,1,2,1,6,23.1,0,.269,.807
Batting Seventh,7.1,0.55,="1-22",.045,.045,0.000,0,0,0,0,24.0,3,.160,.205
Batting Eighth,4.2,2.14,="8-22",.364,.591,0.227,1,2,0,2,16.0,2,.440,1.031
Batting Ninth,7.0,0.43,="2-21",.095,.143,0.048,0,1,0,1,17.4,1,.130,.273

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Willy Adames RHB,Batting First ​,="29-131",.221,.450,0.229,5,13,1,10,28.1,7,.259,.709
Luis Arraez LHB,Batting Second ​,="54-151",.358,.464,0.106,2,6,2,12,1.8,12,.411,.875
Matt Chapman RHB,Batting Third ​,="22-73",.301,.452,0.151,2,3,1,12,16.9,9,.373,.825
Casey Schmitt RHB,Batting Third ​,="23-94",.245,.447,0.202,5,4,0,12,21.4,2,.265,.712
Rafael Devers LHB,Batting Fourth ​,="45-171",.263,.480,0.217,7,14,1,25,28.6,10,.308,.788
Jung Hoo Lee LHB,Batting Fifth ​,="30-82",.366,.476,0.110,1,4,1,9,7.1,1,.376,.852
Buddy Kennedy RHB,Batting Sixth ​,="0-3",.000,.000,0.000,0,0,0,0,66.7,0,.000,.000
Bryce Eldridge LHB,Batting Seventh ​,="13-45",.289,.489,0.200,1,6,0,2,26.0,5,.360,.849
Drew Gilbert LHB,Batting Eighth ​,="12-72",.167,.222,0.055,1,1,0,7,20.0,10,.286,.508
Daniel Susac RHB,Batting Eighth ​,="16-46",.348,.457,0.109,0,3,1,5,18.9,4,.423,.880
Eric Haase RHB,Batting Ninth ​,="5-27",.185,.481,0.296,2,2,0,4,25.0,1,.214,.695
Victor Bericoto RHB,Batting Ninth ​,="2-8",.250,.625,0.375,1,0,0,1,37.5,0,.250,.875
Jonah Cox RHB,Batting Ninth ​,="5-13",.385,.769,0.384,1,0,1,2,50.0,0,.385,1.154
