Matchup,SF @ CHC
Pitcher,Landen Roupp
Pitcher Team,SF
Opposing Team,CHC

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,9.1,0.75,="5-32",.156,.281,0.125,1,1,0,2,34.3,2,.229,.510
Batting Second,8.1,1.20,="6-31",.194,.290,0.096,0,1,1,4,20.0,4,.286,.576
Batting Third,8.2,1.15,="7-31",.226,.387,0.161,0,3,1,3,32.4,3,.294,.681
Batting Fourth,8.2,0.92,="5-28",.179,.250,0.071,0,2,0,3,18.8,3,.250,.500
Batting Fifth,5.2,2.47,="9-26",.346,.385,0.039,0,1,0,3,12.9,5,.452,.837
Batting Sixth,5.2,1.76,="7-24",.292,.417,0.125,0,3,0,0,32.1,3,.393,.810
Batting Seventh,6.0,1.67,="7-23",.304,.522,0.218,1,2,0,4,34.6,3,.385,.907
Batting Eighth,6.2,0.90,="5-23",.217,.391,0.174,1,1,0,6,36.0,1,.250,.641
Batting Ninth,5.0,1.80,="6-22",.273,.273,0.000,0,0,0,1,20.0,3,.360,.633

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Nico Hoerner RHB,Batting First ​,="51-196",.260,.383,0.123,4,12,0,28,6.3,23,.341,.724
Michael Busch LHB,Batting Second ​,="14-73",.192,.288,0.096,1,4,0,5,25.0,9,.298,.586
Alex Bregman RHB,Batting Third ​,="34-137",.248,.358,0.110,3,6,0,13,18.2,15,.325,.683
Ian Happ SHB,Batting Fourth ​,="25-114",.219,.386,0.167,4,5,1,9,32.4,26,.373,.759
Seiya Suzuki RHB,Batting Fifth ​,="23-96",.240,.406,0.166,4,4,0,11,26.1,13,.333,.739
Michael Conforto LHB,Batting Sixth ​,="8-23",.348,.783,0.435,2,4,0,7,17.9,4,.429,1.212
Carson Kelly RHB,Batting Seventh ​,="16-55",.291,.382,0.091,1,2,0,11,18.5,9,.400,.782
Moisés Ballesteros LHB,Batting Seventh ​,="9-47",.191,.213,0.022,0,1,0,4,25.9,7,.296,.509
Kevin Alcantara RHB,Batting Eighth ​,="1-4",.250,.250,0.000,0,0,0,0,0.0,0,.250,.500
Pete Crow-Armstrong LHB,Batting Eighth ​,="24-106",.226,.443,0.217,5,4,2,17,24.8,10,.322,.765
Pedro Ramirez SHB,Batting Eighth ​,="0-8",.000,.000,0.000,0,0,0,0,0.0,0,.000,.000
Dansby Swanson RHB,Batting Ninth ​,="17-101",.168,.307,0.139,3,3,1,13,21.2,14,.274,.581
Miguel Amaya RHB,Batting Ninth ​,="13-35",.371,.686,0.315,3,2,0,9,13.6,7,.500,1.186
