Matchup,SF @ PIT
Pitcher,Logan Webb
Pitcher Team,SF
Opposing Team,PIT

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,20.0,0.95,="16-73",.219,.397,0.178,3,0,2,8,27.3,3,.250,.647
Batting Second,17.1,1.27,="14-65",.215,.292,0.077,1,2,0,4,20.0,8,.307,.599
Batting Third,18.1,0.98,="14-67",.209,.269,0.060,0,0,2,1,19.7,4,.254,.523
Batting Fourth,16.1,1.10,="13-61",.213,.328,0.115,2,1,0,5,22.1,5,.294,.622
Batting Fifth,15.2,1.34,="16-62",.258,.387,0.129,0,6,1,5,25.4,5,.313,.700
Batting Sixth,18.0,0.61,="9-61",.148,.311,0.163,3,1,0,11,20.0,2,.200,.511
Batting Seventh,14.2,1.09,="14-58",.241,.328,0.087,1,0,1,8,11.1,2,.290,.618
Batting Eighth,13.0,1.62,="15-53",.283,.340,0.057,0,3,0,7,13.3,6,.367,.707
Batting Ninth,13.0,1.31,="16-54",.296,.426,0.130,1,2,1,8,14.0,1,.321,.747

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jake Mangum SHB,Batting First ​,="43-151",.285,.404,0.119,3,7,1,12,22.6,8,.335,.739
Oneil Cruz LHB,Batting First ​,="41-175",.234,.406,0.172,7,9,0,25,35.8,13,.295,.701
Spencer Horwitz LHB,Batting First ​,="33-134",.246,.388,0.142,5,4,0,9,14.3,16,.344,.732
Brandon Lowe LHB,Batting Second ​,="111-433",.256,.503,0.247,27,24,1,74,28.8,48,.329,.832
Bryan Reynolds SHB,Batting Third ​,="133-506",.263,.423,0.160,15,32,2,64,24.0,79,.371,.794
Esmerlyn Valdez RHB,Batting Fourth ​,="27-127",.213,.465,0.252,8,6,1,28,38.7,25,.342,.807
Nick Yorke RHB,Batting Fifth ​,="7-31",.226,.290,0.064,0,2,0,1,20.0,2,.314,.604
Nick Gonzales RHB,Batting Sixth ​,="57-157",.363,.478,0.115,3,9,0,17,15.2,11,.415,.893
Jared Triolo RHB,Batting Eighth ​,="33-114",.289,.377,0.088,2,4,0,14,19.2,8,.347,.724
Jacob Gonzalez LHB,Batting Eighth ​,="12-61",.197,.344,0.147,2,3,0,10,19.0,0,.206,.550
Rafael Flores RHB,Batting Eighth ​,="4-24",.167,.333,0.166,1,1,0,2,21.4,4,.286,.619
Henry Davis RHB,Batting Ninth ​,="34-209",.163,.301,0.138,8,5,0,29,21.5,21,.263,.564
Billy Cook RHB,Batting Ninth ​,="6-29",.207,.276,0.069,0,0,1,2,48.3,0,.207,.483
