Matchup,SF @ STL
Pitcher,Matthew Liberatore
Pitcher Team,STL
Opposing Team,SF

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,17.2,1.81,="22-72",.306,.569,0.263,6,1,0,8,11.9,10,.393,.962
Batting Second,17.2,1.58,="25-76",.329,.697,0.368,8,4,0,19,17.3,3,.358,1.055
Batting Third,17.1,1.56,="19-69",.275,.478,0.203,3,5,0,11,25.6,8,.346,.824
Batting Fourth,16.2,1.68,="16-63",.254,.397,0.143,2,3,0,9,32.0,12,.373,.770
Batting Fifth,14.0,1.93,="23-63",.365,.492,0.127,1,5,0,6,17.4,4,.406,.898
Batting Sixth,16.0,1.19,="17-61",.279,.410,0.131,2,2,0,10,28.1,2,.297,.707
Batting Seventh,16.1,0.80,="9-55",.164,.200,0.036,0,2,0,2,31.1,4,.233,.433
Batting Eighth,12.0,1.83,="15-50",.300,.520,0.220,3,2,0,10,20.3,7,.390,.910
Batting Ninth,13.2,1.24,="15-55",.273,.436,0.163,2,1,1,5,29.8,2,.298,.734

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jonah Cox RHB,Batting First ​,="12-42",.286,.429,0.143,1,1,1,3,34.8,3,.333,.762
Bryce Eldridge LHB,Batting Third ​,="33-117",.282,.462,0.180,4,9,0,24,28.8,20,.381,.843
Osleivis Basabe RHB,Batting Fifth ​,="6-32",.188,.250,0.062,0,2,0,1,14.3,2,.257,.507
Turner Hill LHB,Batting Fifth ​,="5-29",.172,.241,0.069,0,2,0,1,21.2,3,.273,.514
Jung Hoo Lee LHB,Batting Fifth ​,="52-199",.261,.362,0.101,2,12,1,19,8.9,11,.305,.667
Scott Bandura LHB,Batting Fifth ​,="1-4",.250,.250,0.000,0,0,0,0,60.0,1,.400,.650
Andrew Knizner RHB,Batting Sixth ​,="1-17",.059,.118,0.059,0,1,0,0,31.6,1,.158,.276
Shay Whitcomb RHB,Batting Seventh ​,="4-26",.154,.385,0.231,2,0,0,2,17.9,2,.214,.599
Grant McCray LHB,Batting Eighth ​,="9-51",.176,.373,0.197,2,2,1,4,28.3,7,.276,.649
Drew Gilbert LHB,Batting Eighth ​,="29-142",.204,.275,0.071,2,4,0,14,16.7,18,.317,.592
Brett Harris RHB,Batting Eighth ​,="0-4",.000,.000,0.000,0,0,0,0,0.0,0,.200,.200
Drew Cavanaugh LHB,Batting Eighth ​,="11-37",.297,.378,0.081,1,0,0,4,20.9,6,.395,.773
Nate Furman LHB,Batting Eighth ​,="3-15",.200,.200,0.000,0,0,0,3,17.6,2,.294,.494
Christian Koss RHB,Batting Ninth ​,="38-144",.264,.354,0.090,3,4,0,10,20.6,8,.303,.657
