Matchup,STL @ ARI
Pitcher,Eduardo Rodriguez
Pitcher Team,ARI
Opposing Team,STL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,11.2,1.89,="14-49",.286,.469,0.183,2,1,1,2,14.0,8,.386,.855
Batting Second,11.1,2.12,="19-52",.365,.692,0.327,4,5,0,7,14.0,5,.421,1.113
Batting Third,15.2,0.89,="7-48",.146,.208,0.062,1,0,0,3,17.9,7,.255,.463
Batting Fourth,14.1,1.12,="11-51",.216,.255,0.039,0,2,0,1,17.9,5,.286,.541
Batting Fifth,14.0,1.07,="8-48",.167,.292,0.125,2,0,0,5,16.4,7,.273,.565
Batting Sixth,13.1,0.90,="11-51",.216,.412,0.196,2,4,0,5,26.9,1,.231,.643
Batting Seventh,14.0,0.50,="7-48",.146,.313,0.167,1,3,1,1,22.9,0,.146,.459
Batting Eighth,11.0,0.91,="7-39",.179,.256,0.077,0,3,0,1,9.5,3,.238,.494
Batting Ninth,8.2,1.50,="10-35",.286,.400,0.114,0,4,0,3,12.8,3,.342,.742

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
JJ Wetherholt LHB,Batting First ​,="95-358",.265,.411,0.146,14,10,0,37,15.4,41,.361,.772
Ivan Herrera RHB,Batting Second ​,="86-355",.242,.380,0.138,11,14,1,41,16.2,51,.372,.752
Alec Burleson LHB,Batting Third ​,="83-296",.280,.493,0.213,14,19,1,48,15.2,28,.350,.843
Nelson Velazquez RHB,Batting Fourth ​,="11-40",.275,.575,0.300,3,3,0,10,17.0,5,.362,.937
Jordan Walker RHB,Batting Fourth ​,="72-257",.280,.514,0.234,16,12,0,57,26.7,19,.331,.845
Lars Nootbaar LHB,Batting Fifth ​,="20-81",.247,.370,0.123,2,4,0,9,25.3,13,.347,.717
Masyn Winn RHB,Batting Sixth ​,="66-254",.260,.354,0.094,4,8,2,37,19.3,26,.338,.692
Bryan Torres LHB,Batting Seventh ​,="9-35",.257,.457,0.200,1,0,2,3,13.2,2,.297,.754
Jose Fermin RHB,Batting Seventh ​,="12-51",.235,.314,0.079,0,4,0,5,14.8,2,.259,.573
Jimmy Crooks LHB,Batting Seventh ​,="4-31",.129,.258,0.129,1,1,0,4,20.0,3,.229,.487
Nathan Church LHB,Batting Seventh ​,="33-147",.224,.367,0.143,5,6,0,17,14.9,5,.253,.620
Pedro Pages RHB,Batting Eighth ​,="28-118",.237,.364,0.127,3,6,0,9,25.6,5,.278,.642
Blaze Jordan RHB,Batting Eighth ​,="12-57",.211,.263,0.052,0,3,0,11,18.8,3,.234,.497
