Matchup,STL @ LAA
Pitcher,Jose Soriano
Pitcher Team,LAA
Opposing Team,STL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,15.2,1.09,="10-53",.189,.245,0.056,1,0,0,2,16.7,7,.283,.528
Batting Second,13.0,1.69,="15-52",.288,.442,0.154,2,2,0,5,23.7,7,.373,.815
Batting Third,12.0,1.67,="8-43",.186,.279,0.093,1,1,0,5,23.2,12,.375,.654
Batting Fourth,13.1,1.13,="14-51",.275,.373,0.098,1,2,0,7,30.9,1,.296,.669
Batting Fifth,11.2,1.54,="11-46",.239,.413,0.174,2,2,0,7,22.2,7,.352,.765
Batting Sixth,11.1,1.32,="10-45",.222,.378,0.156,2,1,0,7,38.0,5,.300,.678
Batting Seventh,12.1,0.89,="7-42",.167,.310,0.143,2,0,0,2,26.1,4,.239,.549
Batting Eighth,11.2,1.03,="9-42",.214,.286,0.072,1,0,0,3,20.0,3,.267,.553
Batting Ninth,9.0,1.44,="6-32",.188,.188,0.000,0,0,0,2,22.0,7,.350,.538

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
JJ Wetherholt LHB,Batting First ​,="96-364",.264,.407,0.143,14,10,0,38,15.4,41,.359,.766
Ivan Herrera RHB,Batting Second ​,="89-361",.247,.382,0.135,11,14,1,41,15.9,51,.374,.756
Alec Burleson LHB,Batting Third ​,="83-296",.280,.493,0.213,14,19,1,48,15.2,28,.350,.843
Nelson Velazquez RHB,Batting Fourth ​,="11-43",.256,.535,0.279,3,3,0,10,22.0,5,.340,.875
Jordan Walker RHB,Batting Fourth ​,="72-257",.280,.514,0.234,16,12,0,57,26.7,19,.331,.845
Lars Nootbaar LHB,Batting Fifth ​,="20-81",.247,.370,0.123,2,4,0,9,25.3,13,.347,.717
Masyn Winn RHB,Batting Sixth ​,="66-258",.256,.349,0.093,4,8,2,37,19.0,27,.336,.685
Bryan Torres LHB,Batting Seventh ​,="9-35",.257,.457,0.200,1,0,2,3,13.2,2,.297,.754
Jose Fermin RHB,Batting Seventh ​,="14-54",.259,.333,0.074,0,4,0,5,13.6,4,.305,.638
Jimmy Crooks LHB,Batting Seventh ​,="4-31",.129,.258,0.129,1,1,0,4,20.0,3,.229,.487
Nathan Church LHB,Batting Seventh ​,="33-147",.224,.367,0.143,5,6,0,17,14.9,5,.253,.620
Pedro Pages RHB,Batting Eighth ​,="28-118",.237,.364,0.127,3,6,0,9,25.6,5,.278,.642
Blaze Jordan RHB,Batting Eighth ​,="12-57",.211,.263,0.052,0,3,0,11,18.8,3,.234,.497
