Matchup,STL @ LAA
Pitcher,Reid Detmers
Pitcher Team,LAA
Opposing Team,STL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,13.1,1.35,="13-54",.241,.444,0.203,3,2,0,4,31.7,5,.305,.749
Batting Second,14.1,0.98,="11-54",.204,.315,0.111,1,1,1,4,26.7,3,.283,.598
Batting Third,11.2,2.06,="16-48",.333,.563,0.230,2,5,0,10,17.2,8,.414,.977
Batting Fourth,11.2,1.63,="12-48",.250,.417,0.167,2,2,0,7,23.6,7,.345,.762
Batting Fifth,12.1,1.22,="9-45",.200,.422,0.222,2,4,0,5,32.7,6,.288,.710
Batting Sixth,13.1,0.83,="11-48",.229,.354,0.125,1,1,1,11,31.4,0,.216,.570
Batting Seventh,13.0,0.69,="6-43",.140,.256,0.116,1,2,0,5,26.5,3,.208,.464
Batting Eighth,11.1,1.06,="11-45",.244,.311,0.067,0,3,0,3,17.4,1,.261,.572
Batting Ninth,13.0,0.46,="4-41",.098,.098,0.000,0,0,0,0,41.9,2,.140,.238

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
JJ Wetherholt LHB,Batting First ​,="96-371",.259,.399,0.140,14,10,0,39,15.9,42,.354,.753
Ivan Herrera RHB,Batting Second ​,="90-369",.244,.377,0.133,11,14,1,41,16.6,51,.369,.746
Alec Burleson LHB,Batting Third ​,="86-304",.283,.490,0.207,14,19,1,48,15.4,28,.350,.840
Nelson Velazquez RHB,Batting Fourth ​,="11-43",.256,.535,0.279,3,3,0,10,22.0,5,.340,.875
Jordan Walker RHB,Batting Fourth ​,="74-264",.280,.511,0.231,16,13,0,57,26.6,20,.332,.843
Lars Nootbaar LHB,Batting Fifth ​,="21-89",.236,.348,0.112,2,4,0,9,26.2,13,.330,.678
Masyn Winn RHB,Batting Sixth ​,="66-265",.249,.340,0.091,4,8,2,37,19.5,27,.328,.668
Bryan Torres LHB,Batting Seventh ​,="9-35",.257,.457,0.200,1,0,2,3,13.2,2,.297,.754
Jose Fermin RHB,Batting Seventh ​,="14-55",.255,.327,0.072,0,4,0,5,13.1,4,.311,.638
Jimmy Crooks LHB,Batting Seventh ​,="4-31",.129,.258,0.129,1,1,0,4,20.0,3,.229,.487
Nathan Church LHB,Batting Seventh ​,="35-152",.230,.368,0.138,5,6,0,18,14.5,5,.258,.626
Pedro Pages RHB,Batting Eighth ​,="28-118",.237,.364,0.127,3,6,0,9,25.6,5,.278,.642
Blaze Jordan RHB,Batting Eighth ​,="13-64",.203,.250,0.047,0,3,0,12,19.7,3,.225,.475
