Matchup,STL @ LAD
Pitcher,Michael McGreevy
Pitcher Team,STL
Opposing Team,LAD

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,19.0,1.05,="18-74",.243,.351,0.108,1,3,1,3,11.7,2,.260,.611
Batting Second,16.2,1.86,="19-64",.297,.516,0.219,3,5,0,7,17.1,12,.408,.924
Batting Third,20.1,0.84,="13-67",.194,.299,0.105,2,1,0,6,12.5,4,.236,.535
Batting Fourth,16.1,1.29,="16-64",.250,.375,0.125,0,8,0,4,18.8,5,.304,.679
Batting Fifth,14.2,1.50,="18-61",.295,.525,0.230,3,5,0,10,12.3,4,.338,.863
Batting Sixth,14.1,1.12,="15-57",.263,.386,0.123,2,1,0,8,21.7,1,.267,.653
Batting Seventh,14.1,1.19,="13-54",.241,.463,0.222,3,3,0,5,24.1,4,.293,.756
Batting Eighth,12.1,1.78,="16-50",.320,.660,0.340,4,3,1,11,12.5,6,.393,1.053
Batting Ninth,13.2,0.88,="12-52",.231,.346,0.115,2,0,0,3,22.6,0,.245,.591

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Shohei Ohtani LHB,Batting First ​,="138-492",.280,.530,0.250,30,25,4,80,23.8,77,.380,.910
Freddie Freeman LHB,Batting Third ​,="85-261",.326,.540,0.214,13,17,0,40,16.9,40,.414,.954
Mookie Betts RHB,Batting Fourth ​,="44-169",.260,.432,0.172,7,8,0,22,12.4,16,.324,.756
Max Muncy LHB,Batting Fifth ​,="37-129",.287,.527,0.240,7,8,1,21,18.3,22,.399,.926
Tommy Edman SHB,Batting Fifth ​,="11-45",.244,.400,0.156,2,1,0,7,18.9,5,.358,.758
Kyle Tucker LHB,Batting Sixth ​,="33-149",.221,.342,0.121,3,5,2,18,15.3,18,.306,.648
Teoscar Hernandez RHB,Batting Seventh ​,="27-115",.235,.383,0.148,5,2,0,20,29.5,6,.279,.662
Enrique Hernandez RHB,Batting Eighth ​,="5-26",.192,.308,0.116,1,0,0,3,40.7,1,.222,.530
Alex Call RHB,Batting Eighth ​,="13-51",.255,.294,0.039,0,2,0,9,18.6,5,.339,.633
Alek Thomas LHB,Batting Eighth ​,="11-54",.204,.296,0.092,0,5,0,7,28.3,4,.271,.567
Miguel Rojas RHB,Batting Ninth ​,="15-57",.263,.351,0.088,1,2,0,5,12.5,4,.328,.679
Ben Rortvedt LHB,Batting Ninth ​,="5-26",.192,.192,0.000,0,0,0,1,33.3,0,.192,.384
Hunter Feduccia LHB,Batting Ninth ​,="28-103",.272,.379,0.107,1,6,1,8,19.5,13,.353,.732
