Matchup,STL @ NYY
Pitcher,Michael McGreevy
Pitcher Team,STL
Opposing Team,NYY

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,15.0,1.13,="15-59",.254,.373,0.119,1,2,1,3,11.3,2,.274,.647
Batting Second,13.2,1.83,="17-54",.315,.519,0.204,2,5,0,5,19.4,8,.403,.922
Batting Third,16.2,0.84,="11-55",.200,.327,0.127,2,1,0,6,10.2,3,.237,.564
Batting Fourth,13.1,1.28,="13-52",.250,.404,0.154,0,8,0,3,16.1,4,.304,.708
Batting Fifth,11.2,1.54,="15-49",.306,.571,0.265,3,4,0,9,9.6,3,.346,.917
Batting Sixth,11.1,1.15,="12-44",.273,.409,0.136,2,0,0,7,27.7,1,.277,.686
Batting Seventh,11.2,1.03,="8-41",.195,.366,0.171,2,1,0,2,24.4,4,.267,.633
Batting Eighth,10.2,1.41,="11-40",.275,.550,0.275,2,3,1,6,9.1,4,.341,.891
Batting Ninth,11.1,0.71,="8-42",.190,.262,0.072,1,0,0,1,21.4,0,.190,.452

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Paul Goldschmidt RHB,Batting First ​,="28-103",.272,.534,0.262,7,4,1,16,21.2,14,.364,.898
Trent Grisham LHB,Batting First ​,="42-230",.183,.313,0.130,6,10,1,22,16.1,39,.298,.611
Luis Garcia Jr. LHB,Batting Second ​,="83-277",.300,.610,0.310,20,16,5,65,17.4,10,.324,.934
Ben Rice LHB,Batting Second ​,="64-247",.259,.538,0.279,17,12,3,42,24.4,26,.331,.869
Amed Rosario RHB,Batting Third ​,="10-43",.233,.326,0.093,1,1,0,1,32.6,0,.233,.559
Jasson Dominguez SHB,Batting Fourth ​,="11-48",.229,.354,0.125,1,3,0,4,17.3,3,.288,.642
Jazz Chisholm Jr. LHB,Batting Sixth ​,="33-145",.228,.372,0.144,4,7,1,15,31.3,13,.294,.666
Spencer Jones LHB,Batting Sixth ​,="9-32",.281,.438,0.157,1,2,0,3,40.5,5,.378,.816
Ryan McMahon LHB,Batting Eighth ​,="25-104",.240,.413,0.173,4,6,0,13,28.4,4,.275,.688
Jose Caballero RHB,Batting Eighth ​,="28-108",.259,.398,0.139,3,6,0,11,24.3,5,.298,.696
Max Schuemann RHB,Batting Eighth ​,="9-23",.391,.696,0.305,1,4,0,7,16.7,6,.533,1.229
Anthony Volpe RHB,Batting Eighth ​,="11-45",.244,.422,0.178,1,3,1,9,20.0,10,.382,.804
Ali Sanchez RHB,Batting Ninth ​,="12-46",.261,.370,0.109,1,2,0,7,26.0,1,.300,.670
Austin Wells LHB,Batting Ninth ​,="16-121",.132,.240,0.108,4,1,0,6,27.4,12,.216,.456
