Matchup,STL @ NYY
Pitcher,Will Warren
Pitcher Team,NYY
Opposing Team,STL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,14.1,1.40,="15-58",.259,.500,0.241,3,3,1,5,28.6,5,.317,.817
Batting Second,13.1,1.50,="17-54",.315,.463,0.148,1,5,0,6,18.3,3,.339,.802
Batting Third,14.1,1.19,="15-55",.273,.436,0.163,1,4,1,5,15.3,2,.293,.729
Batting Fourth,11.0,2.18,="14-45",.311,.578,0.267,3,3,0,7,21.4,10,.429,1.007
Batting Fifth,12.2,1.18,="15-52",.288,.519,0.231,3,3,0,13,26.9,0,.288,.807
Batting Sixth,11.0,1.45,="12-44",.273,.545,0.272,3,3,0,9,22.4,4,.347,.892
Batting Seventh,11.1,0.97,="8-41",.195,.220,0.025,0,1,0,0,37.0,3,.267,.487
Batting Eighth,10.2,1.31,="10-39",.256,.308,0.052,0,2,0,7,22.2,4,.311,.619
Batting Ninth,9.1,1.18,="6-37",.162,.324,0.162,1,3,0,4,16.3,5,.279,.603

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
JJ Wetherholt LHB,Batting First ​,="104-418",.249,.388,0.139,16,10,0,41,15.4,52,.350,.738
Ivan Herrera RHB,Batting Second ​,="91-377",.241,.371,0.130,11,14,1,41,17.1,51,.365,.736
Alec Burleson LHB,Batting Third ​,="100-339",.295,.516,0.221,17,22,1,55,15.6,34,.365,.881
Nelson Velazquez RHB,Batting Fourth ​,="12-47",.255,.532,0.277,3,4,0,10,24.1,5,.333,.865
Jordan Walker RHB,Batting Fourth ​,="74-264",.280,.511,0.231,16,13,0,57,26.6,20,.332,.843
Masyn Winn RHB,Batting Sixth ​,="73-291",.251,.340,0.089,4,10,2,39,20.4,32,.333,.673
Bryan Torres LHB,Batting Seventh ​,="12-43",.279,.442,0.163,1,0,2,5,10.9,2,.311,.753
Jose Fermin RHB,Batting Seventh ​,="16-66",.242,.348,0.106,1,4,0,7,12.5,4,.292,.640
Nathan Church LHB,Batting Seventh ​,="43-175",.246,.383,0.137,6,6,0,23,14.5,8,.280,.663
Pedro Pages RHB,Batting Eighth ​,="29-121",.240,.364,0.124,3,6,0,9,26.5,5,.279,.643
Blaze Jordan RHB,Batting Eighth ​,="19-89",.213,.270,0.057,0,5,0,16,16.5,4,.237,.507
César Prieto LHB,Batting Eighth ​,="0-10",.000,.000,0.000,0,0,0,0,20.0,0,.000,.000
Jimmy Crooks LHB,Batting Ninth ​,="9-44",.205,.432,0.227,3,1,0,5,41.3,2,.239,.671
