Matchup,TB @ ATL
Pitcher,Martin Perez
Pitcher Team,ATL
Opposing Team,TB

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,15.1,1.43,="13-59",.220,.424,0.204,3,3,0,6,13.0,9,.333,.757
Batting Second,15.0,1.73,="17-58",.293,.448,0.155,1,2,2,5,14.7,9,.397,.845
Batting Third,14.2,1.30,="12-52",.231,.385,0.154,2,0,1,6,14.8,7,.317,.702
Batting Fourth,13.1,1.58,="13-52",.250,.404,0.154,2,2,0,7,16.7,8,.350,.754
Batting Fifth,13.1,1.50,="13-50",.260,.280,0.020,0,1,0,2,20.7,7,.345,.625
Batting Sixth,15.0,1.00,="12-53",.226,.377,0.151,1,3,1,8,17.9,3,.268,.645
Batting Seventh,13.2,0.88,="6-46",.130,.283,0.153,2,1,0,4,24.5,6,.226,.509
Batting Eighth,11.1,1.24,="10-44",.227,.341,0.114,1,2,0,2,26.5,4,.306,.647
Batting Ninth,13.0,0.69,="8-44",.182,.364,0.182,1,3,1,5,17.0,1,.191,.555

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Yandy Diaz RHB,Batting First ​,="134-433",.309,.467,0.158,15,21,1,62,14.8,39,.372,.839
Jonathan Aranda LHB,Batting Second ​,="100-351",.285,.433,0.148,12,16,0,52,21.9,33,.358,.791
Junior Caminero RHB,Batting Third ​,="87-307",.283,.573,0.290,25,12,1,60,19.5,41,.374,.947
Ryan Vilade RHB,Batting Fourth ​,="30-96",.313,.573,0.260,6,5,1,21,17.5,14,.398,.971
Liam Hicks LHB,Batting Fourth ​,="42-128",.328,.555,0.227,8,5,0,34,8.3,9,.386,.941
Chandler Simpson LHB,Batting Fifth ​,="63-188",.335,.372,0.037,0,7,0,11,6.5,7,.355,.727
Jonny DeLuca RHB,Batting Sixth ​,="31-119",.261,.412,0.151,4,6,0,18,18.7,4,.285,.697
Victor Mesa Jr. LHB,Batting Sixth ​,="18-69",.261,.478,0.217,5,0,0,10,26.7,5,.320,.798
Cedric Mullins LHB,Batting Seventh ​,="27-130",.208,.354,0.146,5,2,1,18,17.2,10,.273,.627
Nick Madrigal RHB,Batting Seventh ​,="10-26",.385,.423,0.038,0,1,0,2,6.5,5,.484,.907
Nick Fortes RHB,Batting Eighth ​,="31-133",.233,.293,0.060,1,5,0,12,14.0,3,.270,.563
Richie Palacios LHB,Batting Eighth ​,="26-108",.241,.426,0.185,5,5,0,17,12.8,14,.331,.757
Kenny Piper RHB,Batting Eighth ​,="1-4",.250,.250,0.000,0,0,0,0,0.0,1,.400,.650
Jorge Mateo RHB,Batting Ninth ​,="20-84",.238,.298,0.060,1,2,0,6,34.1,3,.264,.562
