Matchup,TB @ DET
Pitcher,Framber Valdez
Pitcher Team,DET
Opposing Team,TB

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,17.0,1.47,="19-70",.271,.386,0.115,1,3,1,4,19.2,6,.346,.732
Batting Second,16.2,1.68,="18-65",.277,.477,0.200,4,1,0,9,19.7,10,.382,.859
Batting Third,15.1,1.76,="18-60",.300,.450,0.150,2,3,0,7,17.6,9,.419,.869
Batting Fourth,14.2,1.77,="19-62",.306,.452,0.146,1,6,0,7,11.1,7,.389,.841
Batting Fifth,16.2,1.20,="17-65",.262,.415,0.153,3,1,0,13,20.3,3,.290,.705
Batting Sixth,15.0,1.27,="15-60",.250,.350,0.100,1,3,0,5,18.2,4,.318,.668
Batting Seventh,14.0,1.50,="12-54",.222,.315,0.093,1,2,0,5,15.9,9,.333,.648
Batting Eighth,16.0,0.81,="9-55",.164,.200,0.036,0,2,0,9,20.0,4,.233,.433
Batting Ninth,13.1,1.13,="13-52",.250,.308,0.058,0,1,1,4,21.8,2,.291,.599

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Yandy Diaz RHB,Batting First ​,="115-370",.311,.459,0.148,12,17,1,54,15.1,33,.375,.834
Liam Hicks LHB,Batting First ​,="31-102",.304,.422,0.118,2,4,1,10,9.4,13,.388,.810
Chandler Simpson LHB,Batting First ​,="40-156",.256,.301,0.045,0,3,2,7,13.3,7,.287,.588
Jonathan Aranda LHB,Batting Second ​,="87-303",.287,.419,0.132,9,13,0,44,21.9,30,.360,.779
Junior Caminero RHB,Batting Third ​,="68-248",.274,.581,0.307,21,11,1,50,19.6,35,.368,.949
Ryan Vilade RHB,Batting Fourth ​,="30-89",.337,.618,0.281,6,5,1,21,17.3,11,.408,1.026
Jonny DeLuca RHB,Batting Fifth ​,="28-98",.286,.429,0.143,2,8,0,17,18.1,6,.327,.756
Cedric Mullins LHB,Batting Seventh ​,="23-110",.209,.355,0.146,4,2,1,13,17.9,8,.273,.628
Nick Fortes RHB,Batting Eighth ​,="31-130",.238,.300,0.062,1,5,0,12,13.6,3,.275,.575
Richie Palacios LHB,Batting Eighth ​,="20-81",.247,.346,0.099,1,5,0,11,12.6,12,.340,.686
Kenny Piper RHB,Batting Eighth ​,="1-4",.250,.250,0.000,0,0,0,0,0.0,1,.400,.650
Jorge Mateo RHB,Batting Ninth ​,="18-76",.237,.303,0.066,1,2,0,4,32.9,3,.266,.569
Taylor Walls SHB,Batting Ninth ​,="45-210",.214,.290,0.076,2,6,2,24,24.7,26,.301,.591
